baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	dispersion
AT1G01030.1	133.62704881357	-2.06398622949692	0.522363969910852	-3.95124156409403	7.77467991298884e-05	0.000369550403575959	1e-08
AT1G01040.2	2311.13813472424	1.33500867801428	0.421308721653334	3.16871835165277	0.00153112690198765	0.00550445800809221	0.119069779746742
AT1G01100.1	7032.62279051273	-2.26112185881976	0.386874814730404	-5.84458272476443	5.07839626628304e-09	4.71690037872278e-08	0.0225824704526637
AT1G01110.2	300.187456283777	-2.06539907047003	0.505086593134055	-4.08919796832116	4.32867301400848e-05	0.000216672633538241	0.236929420905911
AT1G01130.1	88.1541579548868	-2.28301433148139	0.588038622941997	-3.88242241650611	0.000103421018296405	0.000479345504656789	1e-08
AT1G01140.3	5046.37099973396	1.71045039079178	0.386016323232769	4.43103124880129	9.3783495893452e-06	5.28232251619512e-05	0.016914219838187
AT1G01150.1	40.1920537077533	-4.77191023870299	0.937744212367226	-5.08871201311588	3.60503590265259e-07	2.57230614572109e-06	0.0505919748843582
AT1G01180.1	347.045052776552	3.37552021270965	0.470607669084739	7.17268424306499	7.35413418119355e-13	1.05403006270589e-11	0.102315046254638
AT1G01225.1	140.963064626276	-1.74778939626488	0.517321377409971	-3.37853696480781	0.000728726347253812	0.00282582542990006	0.0189096096004838
AT1G01240.1	1199.88508639949	1.4435191509382	0.39576866074089	3.64738114492414	0.000264926792709413	0.00112767415355002	0.00541407346437768
AT1G01250.1	548.270246837148	-1.17622943238961	0.415024120277298	-2.83412306639844	0.0045951631983879	0.0146314327465606	0.000910298177991521
AT1G01280.1	848.701819028081	-8.89904734699952	0.727375421908568	-12.2344625333218	2.03447041586988e-34	1.7925023670357e-32	0.312547476614688
AT1G01300.1	3594.14098690721	-1.84580416663051	0.409957822995096	-4.50242454978739	6.71826085674846e-06	3.88445668874249e-05	0.0896942746480139
AT1G01310.1	348.253868776749	-6.62746591608424	0.602749918719777	-10.9953825131338	4.02204537320172e-28	2.19929197002349e-26	0.0567609433314339
AT1G01320.1	18533.0606178087	2.01129803239926	0.430913942391171	4.66751672326596	3.04861942947951e-06	1.87822222018744e-05	0.178573790358103
AT1G01340.2	287.533261169312	2.77678280010227	0.463354113745831	5.99278762770508	2.06274155928837e-09	2.01934567277461e-08	0.0428811640449855
AT1G01360.1	1491.67790927948	1.60323485466739	0.390668288559415	4.10382644718695	4.063723598932e-05	0.000204466551148555	1e-08
AT1G01370.1	212.65997107841	-5.02024906696374	0.588302481940862	-8.53344872930246	1.42048420784865e-17	3.2327230077566e-16	0.215828356559284
AT1G01390.1	506.424609383432	4.09838405813398	0.432583134335133	9.47421138929299	2.68783246686671e-21	8.35666142851282e-20	0.000910298177991521
AT1G01400.1	25.6971642096217	-4.06576873773763	1.04608851916649	-3.88663928840091	0.00010164161516309	0.000471720481468594	0.4367296480555
AT1G01420.1	494.559556561635	4.88989181001225	0.448171931810941	10.9107497880412	1.0240818462057e-27	5.41030909200325e-26	1e-08
AT1G01440.1	809.495149550303	1.60883866296271	0.415508769413381	3.87197282318271	0.000107957991705803	0.000498893014614158	1e-08
AT1G01460.1	115.503568934587	-6.64945352106022	0.933368671893987	-7.1241447471846	1.04728938735544e-12	1.47618432903771e-11	1.31878910332286
AT1G01470.1	2054.16366123719	3.43366191396266	0.391294167646429	8.77514207435184	1.70688234797469e-18	4.21560942637757e-17	1e-08
AT1G01490.1	2441.27029391442	1.46448328104526	0.386621326680277	3.78790092522841	0.000151925404742946	0.000682765498193993	0.00466265952085446
AT1G01520.1	408.960171589902	2.62111041979144	0.46482486868062	5.63892036850635	1.71119641564942e-08	1.4880843582377e-07	0.13193083224567
AT1G01550.1	7604.92090665663	1.44562526364709	0.388670766794709	3.71940826825972	0.000199690053013602	0.000875310141921444	0.0300398702061792
AT1G01560.2	161.063585063635	1.60393724324785	0.519568367536847	3.08705714870931	0.00202148729030587	0.00706489950029055	0.118538755155601
AT1G01570.1	167.395764505143	-1.57227897265516	0.491224229979088	-3.20073578765057	0.00137077163785397	0.00499376638412492	1e-08
AT1G01600.1	2481.82175552962	-4.94496846426255	0.452670617137638	-10.9239881650171	8.85214890268308e-28	4.7390189915964e-26	0.21566421536795
AT1G01620.1	10032.5624562692	-1.61138372569375	0.454913173851705	-3.54217863609076	0.000396836634232714	0.00163469008379667	0.264553578804731
AT1G01680.1	66.3470545049185	4.0819638728551	0.690295976416406	5.91335313012565	3.35212433557603e-09	3.18723973530784e-08	1e-08
AT1G01690.1	307.325813383318	-1.60900018054457	0.482661557072823	-3.33359920003283	0.000857300948430262	0.00327470786308521	0.158058331334519
AT1G01740.1	320.556801461918	1.44947249238327	0.457802571374707	3.16615192446547	0.00154470093269545	0.00554828938202408	0.0722636390443321
AT1G01780.1	571.619708844908	-1.49016631674969	0.421250579503811	-3.53748193890901	0.000403961813074292	0.00166209203897907	1e-08
AT1G01790.1	8642.11829238307	1.92013195787414	0.404677622993533	4.74484342294563	2.08667679939168e-06	1.32765817262299e-05	0.0829881755012468
AT1G01830.2	2587.78565793804	1.19206977987896	0.385296709490483	3.09390075366943	0.00197543556752338	0.00691513165535086	1e-08
AT1G01880.1	173.33854250837	-2.10690316490142	0.525822751878136	-4.00686953422227	6.1528827458501e-05	0.00029821162692682	0.152298782214137
AT1G01900.1	433.948216303502	-1.5125437005456	0.627467938522582	-2.4105513727235	0.0159284279080624	0.0433802708124033	0.878581929742597
