baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	dispersion
AT1G01010.1	230.755466223503	0.343292764597463	0.549838123777016	0.624352422562614	0.532396163367699	0.740617793032661	0.0318162866557511
AT1G01020.1	407.402959273427	0.227169165895795	0.452510839817236	0.502019279775807	0.615653959159365	0.803974203980244	0.00618016318363588
AT1G01030.1	133.62704881357	-2.03190233397079	0.657669713733286	-3.08954828166957	0.00200461121570612	0.00788545875838155	1e-08
AT1G01040.2	2311.13813472424	1.33327814245592	0.406303580825406	3.28148262869691	0.00103262884979827	0.00437367634261588	0.119069779746741
AT1G01046.1	33.4883739612949	1.63458563898895	1.08536893419251	1.50601844911384	0.132062437666733	0.279499011525693	1e-08
AT1G01050.1	3243.05774058608	0.38763470630659	0.317115494846871	1.22237706011109	0.221565070136323	0.414463085607421	1e-08
AT1G01060.1	6320.00791785313	0.659690447336897	0.313540771699115	2.10400211673256	0.0353782623661596	0.0957662951038508	0.0076760265587995
AT1G01070.1	364.538248106118	0.650104014239977	0.464222407419573	1.40041498180505	0.16138908621458	0.326589506598531	0.000255954792269953
AT1G01080.2	1881.40669613667	0.179094093806618	0.33430988037527	0.53571283506662	0.592157031636898	0.783650321649245	1e-08
AT1G01090.1	5895.54184294881	-0.0430713415094026	0.427625262199836	-0.10072216334421	0.919771017038782	0.957973126701469	0.19126249423268
AT1G01100.1	7032.62279051273	-2.26327236356111	0.323765270314302	-6.99047294777476	2.73961120563351e-12	4.27300291595647e-11	0.0225824704526641
AT1G01110.2	300.187456283777	-2.05712654520622	0.601468757578967	-3.42017190300386	0.000625815758440735	0.0027959271509673	0.236929420905911
AT1G01120.1	2755.8297325302	0.412401439998127	0.411008498324655	1.0033890824135	0.315673169650107	0.538237691469662	0.135941809587082
AT1G01130.1	88.1541579548868	-2.23243486680501	0.773471744857486	-2.88625264160922	0.00389859068030488	0.0142663541580625	1e-08
AT1G01140.3	5046.37099973396	1.71246510824625	0.322956284117845	5.30246721448339	1.14247989546025e-07	9.86802087947321e-07	0.0169142198381873
AT1G01150.1	40.1920537077533	-4.50199392144467	1.15442496878825	-3.89977178522933	9.62834006229293e-05	0.000506862943979781	0.0505919748843582
AT1G01160.2	1204.47925002304	-0.114442364901396	0.365051891179684	-0.313496156756152	0.753903740109618	0.880133687207515	0.0146823734550407
AT1G01170.1	1554.77785137244	0.325591532483365	0.340388214335054	0.956529981860288	0.338804544363349	0.566742565796697	1e-08
AT1G01180.1	347.045052776552	3.34841414366747	0.53192632694146	6.29488328378221	3.0763124287666e-10	3.73974209009144e-09	0.102315046254637
AT1G01183.1	0.443402795105263	-0.78176402645957	1.78881413979098	-0.437029207825313	0.662090165982117	0.834640631244945	1e-08
AT1G01190.1	7.4205366330185	-1.03269961435397	1.65258200417762	-0.624900677693069	0.532036247529519	0.740617793032661	0.0409491506238042
AT1G01200.1	64.3064458085451	-1.17653563876471	0.864823638612986	-1.36043418129927	0.173692567965774	0.345589927456184	0.0115139539932645
AT1G01210.1	345.609332950149	-0.317022751800909	0.471294398585024	-0.672663950076031	0.501161107159605	0.719756467952369	1e-08
AT1G01220.1	1136.23239961943	0.615883052241807	0.38885798064387	1.58382515699441	0.113233512756631	0.248772071409199	0.0506297701539267
AT1G01225.1	140.963064626276	-1.71565189827791	0.651550225431331	-2.63318441359166	0.00845884049963458	0.0281087929868443	0.0189096096004815
AT1G01230.1	987.822942117172	0.565228127193597	0.390922915820461	1.44588128328908	0.148210502453424	0.305867125483217	0.0355228349669022
AT1G01240.1	1199.88508639949	1.44369116462768	0.358867499392681	4.02290864196637	5.7483798294844e-05	0.000316667901778692	0.00541407346437568
AT1G01250.1	548.270246837148	-1.17391129368287	0.416873490160958	-2.81598931423922	0.00486272840349374	0.0173419419500818	0.000910298177991521
AT1G01260.1	1103.3751456243	0.360643005334991	0.378385650173188	0.953109625510175	0.340534529673333	0.568619439651399	0.0267242813825651
AT1G01280.1	848.701819028081	-8.81879556986116	0.740174745827618	-11.9144777899718	9.94875471306942e-33	7.24403367786345e-31	0.312547476614687
AT1G01290.1	585.895822710685	0.391072619342949	0.414742111732945	0.942929614041129	0.345716906242099	0.573630047041764	0.00990987769887443
AT1G01300.1	3594.14098690721	-1.8446475061478	0.379632119166586	-4.85903961497617	1.17956532337303e-06	8.768279021085e-06	0.0896942746480135
AT1G01305.1	1.46711055610161	-1.53291494970428	1.79825040624165	-0.852447992995637	0.393965492503575	0.613961415708649	1e-08
AT1G01310.1	348.253868776749	-6.57168942728377	0.640578435331819	-10.2589925992117	1.07825712964059e-24	4.80277256508373e-23	0.0567609433314332
AT1G01320.1	18533.0606178087	2.0090566882409	0.413805883673958	4.85507037841891	1.20343994857574e-06	8.93865834954273e-06	0.1785737903581
AT1G01340.2	287.533261169312	2.75657733451213	0.527453297073193	5.22620173161911	1.73027576530196e-07	1.45471524557514e-06	0.0428811640449858
AT1G01350.1	719.379310320249	-0.220542452473658	0.389200242937164	-0.56665548512842	0.570948270070741	0.768809183579045	1e-08
AT1G01355.1	15.8719384938561	-0.447953635149089	1.38718690173355	-0.322922336268665	0.746754059895064	0.875058144982726	1e-08
AT1G01360.1	1491.67790927948	1.6045502531243	0.343221147746791	4.67497490658136	2.93989564380446e-06	2.05851287904255e-05	1e-08
AT1G01370.1	212.65997107841	-4.94221979691776	0.696310831079116	-7.09772069645749	1.26831173555368e-12	2.05104543380159e-11	0.215828356559284
AT1G01380.1	36.8804716258475	1.56154130581086	1.07631112021063	1.45082706708937	0.146828020620098	0.303526651040636	1e-08
AT1G01390.1	506.424609383432	4.08699007419458	0.440875422170726	9.27016991346804	1.85849622621126e-20	5.87569121866071e-19	0.000910298177991521
AT1G01400.1	25.6971642096217	-3.71708894740547	1.33208205428375	-2.79043542058984	0.00526371997882968	0.0185973744468871	0.4367296480555
AT1G01410.1	0.204741552199269	-0.362981054792707	1.78294121023075	-0.203585543207973	0.838677391394323	0.908252100432661	1e-08
AT1G01420.1	494.559556561635	4.87453524670336	0.458888502901335	10.6224828381709	2.34246409032577e-26	1.18194932036516e-24	1e-08
AT1G01430.1	1061.68825567428	0.831139371320752	0.476125609464255	1.74563046977449	0.080875184112625	0.190120268038595	0.200906456883861
AT1G01440.1	809.495149550303	1.60568874829631	0.410241057653163	3.91401279404324	9.07748225832238e-05	0.000480398501355317	1e-08
AT1G01448.1	314.979636957173	0.951756413211781	0.495777534376618	1.91972477011994	0.0548926737401815	0.137972946533853	1e-08
AT1G01450.1	13.9199803941696	0.792182396141437	1.43854481144453	0.55068315553268	0.581850893647018	0.775902542080657	1e-08
AT1G01453.2	0.806809060226224	0.500550679788962	1.79730746167857	0.278500306965553	0.780628329432481	0.897245320698045	1e-08
AT1G01460.1	115.503568934587	-6.37722488062703	1.07864332363056	-5.91226473192474	3.37435624255095e-09	3.60744224241678e-08	1.31878910332286
AT1G01470.1	2054.16366123719	3.4373133443823	0.339002349798387	10.1394971050394	3.68994247556125e-24	1.55486541556408e-22	1e-08
AT1G01480.1	16.2198715074333	0.40419860455565	1.3877806301038	0.291255401457373	0.770855993962384	0.891555021040565	0.222851130679323
AT1G01490.1	2441.27029391442	1.46674615648988	0.328513529672026	4.4647968013805	8.01447776964443e-06	5.20579875649703e-05	0.00466265952085178
AT1G01500.1	841.781431375579	0.662009505067143	0.384036681345992	1.7238184194981	0.084740628332264	0.197423748334434	0.00933772779367162
AT1G01510.1	1172.48200782307	-0.216553803448584	0.497972755234168	-0.434870785946414	0.663656220849014	0.834640631244945	0.259765470018759
AT1G01520.1	408.960171589902	2.60822327835399	0.520663173309673	5.00942530998385	5.45928081644626e-07	4.2645510457765e-06	0.131930832245669
AT1G01530.1	3.74422785054381	1.03291444735609	1.82176215023452	0.566986446185149	0.570723390199109	0.768809183579045	1e-08
AT1G01540.2	2587.81499845888	0.402672090943793	0.340614127688097	1.18219433138875	0.237128601366729	0.436145309208382	0.022105429025547
AT1G01550.1	7604.92090665663	1.44748819734494	0.328477453462837	4.40665921537505	1.04977151955885e-05	6.70870357633495e-05	0.0300398702061792
AT1G01560.2	161.063585063635	1.58484655689407	0.654720081345447	2.42064754396599	0.015492890644635	0.0475686240395576	0.118538755155602
AT1G01570.1	167.395764505143	-1.55297309347331	0.601222528642215	-2.58302545145889	0.00979380976838812	0.0318446109845345	1e-08
AT1G01580.1	302.815380839995	0.326682809613905	0.494027932742305	0.661263843525038	0.508443124443282	0.72421966630868	1e-08
AT1G01590.1	288.793610083083	-0.869833884883786	0.498389353466223	-1.74528985989412	0.0809344261179839	0.190211805374367	1e-08
AT1G01600.1	2481.82175552962	-4.92905413813879	0.457094464025713	-10.7834474623204	4.12143753686978e-27	2.20222668082247e-25	0.215664215367951
AT1G01610.1	2691.81082610197	-0.154765185013897	0.572023046885692	-0.27055760402749	0.786731307018246	0.900976476662409	0.516482536000342
AT1G01620.1	10032.5624562692	-1.60212923612982	0.457248961790708	-3.50384444801243	0.000458593149337744	0.0021157614995546	0.264553578804728
AT1G01630.1	2132.35703488281	0.00649431200906127	0.328806878112281	0.0197511440342911	0.98424189168338	0.990231336184604	1e-08
AT1G01640.1	127.048903101491	0.459878255445971	0.676531857167649	0.6797584630697	0.496657411224148	0.715115430320999	0.04254549400107
AT1G01650.1	2240.70303313883	0.825484257222917	0.379877713577498	2.17302628640391	0.0297783389262705	0.0827516307951116	0.0727734429022011
AT1G01660.1	66.7732797492256	0.147727495049744	0.838896118899615	0.176097483015559	0.860217358289459	0.922162982381705	1e-08
AT1G01670.1	125.925321322586	0.693364588917195	0.661341162914026	1.04842194588655	0.294444246786209	0.511477959613815	1e-08
AT1G01680.1	66.3470545049185	3.94768436739882	0.89720233825774	4.39999340066896	1.08254170274372e-05	6.89930092909634e-05	1e-08
AT1G01690.1	307.325813383318	-1.58961110856876	0.564534331031809	-2.81579174407941	0.00486571962753901	0.0173438067028042	0.158058331334523
AT1G01695.1	23.1544415940075	-1.15049446369185	1.23529216631032	-0.931354132300737	0.351670408972017	0.578589739189107	0.0331442474946642
