baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pvalue	padj	dispersion
AT1G01010.1	230.755466223503	201.659082512507	259.851849934499	1.28857002966074	0.365770945190432	0.498841267581564	0.733401300760968	0.0332006497734824
AT1G01020.1	407.402959273427	373.503525049005	441.30239349785	1.18152136165234	0.2406457131639	0.66056266306911	0.861730039257835	0.0236324905288414
AT1G01030.1	133.62704881357	216.68862377579	50.5654738513508	0.233355461723139	-2.09939886067434	0.00627166315543657	0.0255465745864783	0.232025895019912
AT1G01040.2	2311.13813472424	1361.81544284436	3260.46082660413	2.39420168403595	1.25954468791331	0.0128325721438355	0.0464066228351313	0.0533603538237033
AT1G01046.1	33.4883739612949	14.9085433959632	52.0682045266266	3.49250782881481	1.80426334958739	0.0210559742462158	0.0696827295574398	-0.029487254424675
AT1G01050.1	3243.05774058608	2811.90042529497	3674.2150558772	1.30666613327596	0.385890564700743	0.457549671605595	0.692956734030976	0.022014633867092
AT1G01060.1	6320.00791785313	5081.40283786796	7558.61299783829	1.48750517111328	0.57289468376614	0.802490353629986	0.951879885170896	1.53337606611587
AT1G01070.1	364.538248106118	280.180526300824	448.895969911412	1.60216691658807	0.680024458102065	0.423352264570583	0.662983227623643	0.290104297807933
AT1G01080.2	1881.40669613667	1769.31263785099	1993.50075442235	1.12670915912501	0.172115156291854	0.754662843937597	0.922457708457207	0.0439266906602907
AT1G01090.1	5895.54184294881	6126.72824167672	5664.35544422089	0.924531857915525	-0.113205061396501	0.858207216919616	0.990057547869422	0.142053414847946
AT1G01100.1	7032.62279051273	11715.8617744043	2349.38380662118	0.200530174549677	-2.31810875397898	0.000722437176246594	0.00397432360062376	0.19909757448542
AT1G01110.2	300.187456283777	495.068288188953	105.3066243786	0.212711310522091	-2.23303134696587	0.0717257508058129	0.184473275269782	0.599187656453537
AT1G01120.1	2755.8297325302	2230.38471257548	3281.27475248491	1.47116985423377	0.556963822877018	0.537733399911346	0.766912007809829	0.333864460826063
AT1G01130.1	88.1541579548868	147.462182437544	28.8461334722291	0.195617160924947	-2.35389515560277	0.0321909883011711	0.0980132073656933	0.475939647299991
AT1G01140.3	5046.37099973396	2320.61089647354	7772.13110299438	3.34917461380756	1.74380559488822	0.00082336879602954	0.00445557163397673	0.0721232712905998
AT1G01150.1	40.1920537077533	78.0948329724935	2.28927444301305	0.0293140321309014	-5.0922647660951	9.39183153340135e-08	1.21030177477202e-06	0.152066078719723
AT1G01160.2	1204.47925002304	1248.29310041425	1160.66539963183	0.929801982600606	-0.105004592793647	0.846555069692011	0.980958123251823	0.0153878773493336
AT1G01170.1	1554.77785137244	1378.42620733607	1731.12949540882	1.25587389894043	0.328691611915484	0.524220771751845	0.756585653222623	0.0037009837734357
AT1G01180.1	347.045052776552	60.7220505023856	633.368055050719	10.4306104588124	3.38275168995778	6.31997285334347e-09	9.84640559956051e-08	0.00775355274816582
AT1G01183.1	0.443402795105263	0.886805590210525	0	0	-Inf	0.888057070395169	1	1.74750729690808
AT1G01190.1	7.4205366330185	10.8476320426845	3.99344122335251	0.368139443487635	-1.44167576251007	0.336156253196936	0.568540597686429	0.344753371387757
AT1G01200.1	64.3064458085451	89.7687716717287	38.8441199453615	0.432713060700093	-1.20851742819993	0.303333030073034	0.531811998205521	0.59413117368051
AT1G01210.1	345.609332950149	384.734060953135	306.484604947163	0.796614170806408	-0.328046951150251	0.529829833085573	0.761335870150999	0.0188453921767699
AT1G01220.1	1136.23239961943	894.45910953974	1378.00568969912	1.54060221982445	0.623494409181079	0.223964092964038	0.43014451256302	0.0240591125629106
AT1G01225.1	140.963064626276	216.780931316382	65.1451979361709	0.300511661891029	-1.73450711651031	0.00295896277342132	0.0135075384401624	0.104064229201342
AT1G01230.1	987.822942117172	802.268030396613	1173.37785383773	1.46257585916474	0.548511454646493	0.29540609205034	0.521394349608569	0.0244694017595329
AT1G01240.1	1199.88508639949	637.546722908527	1762.22344989046	2.76406949729283	1.46679389001678	0.00467419029868789	0.0199291250811471	0.0400213179419412
AT1G01250.1	548.270246837148	764.586133260419	331.954360413877	0.434162151225954	-1.20369413268063	0.0645765079901489	0.170133795797818	0.193706960324446
AT1G01260.1	1103.3751456243	960.671927769065	1246.07836347953	1.29709042958427	0.375279063833971	0.460025918355628	0.695395496224562	0.0236889391981249
AT1G01280.1	848.701819028081	1694.58041215816	2.82322589800533	0.00166603241590039	-9.22936781324808	1.37574316411259e-30	4.60317111554147e-28	0.00650906812592277
AT1G01290.1	585.895822710685	506.456859931313	665.334785490056	1.31370475578175	0.393641078377135	0.453052153399041	0.688668676226795	0.00388218928595316
AT1G01300.1	3594.14098690721	5690.54333597638	1497.73863783805	0.263197826536025	-1.92578051941088	0.0111590214640103	0.0412949910819582	0.242315427228606
AT1G01305.1	1.46711055610161	2.93422111220322	0	0	-Inf	0.37245617070745	0.606938373210474	-0.0549514398967633
AT1G01310.1	348.253868776749	690.173865679451	6.33387187404688	0.00917721198818709	-6.76772835125492	1.16739387390721e-20	9.37450634858169e-19	0.0207144019137855
AT1G01320.1	18533.0606178087	7910.00720541347	29156.1140302039	3.68597818852175	1.88204753396249	0.000234932722870962	0.00147784671195418	0.0616877406724075
