logFC	logCPM	pvalue	padj	dispersion
AT1G01030.1	-2.13263317095205	1.92379550057846	0.000638435100374831	0.00258296486701238	0.157950858751787
AT1G01040.2	1.21974704960963	5.99518601186832	0.0162206872777247	0.0441121080433218	0.117950233457548
AT1G01046.1	1.76011038834607	-0.0407947131439647	0.00459337580515201	0.0147967243988083	0.137074490594629
AT1G01100.1	-2.35204172928369	7.61550141982125	4.12280261927755e-06	2.6960328156681e-05	0.111838713039685
AT1G01110.2	-2.27251589803384	3.08097460286753	0.000179515386245828	0.000828754836699285	0.153190607315335
AT1G01130.1	-2.38530153398893	1.3298605168349	0.00070260844163653	0.00281758114815602	0.191906130023275
AT1G01140.3	1.70713405831217	7.11663372050488	0.000356512606300215	0.00153049386171893	0.102484143666673
AT1G01150.1	-5.05373480664681	0.243939455007891	2.15740335502113e-09	2.39667899985074e-08	0.159081300472901
AT1G01180.1	3.34293564712213	3.25716972635524	1.38060203342176e-09	1.5799348840127e-08	0.11521267483086
AT1G01225.1	-1.76988767334752	1.99358540900911	0.00320977795394992	0.0108235175973265	0.149445456891885
AT1G01240.1	1.43077233560926	5.04886085494478	0.00105525213815955	0.00404789362564657	0.0863530223069544
AT1G01250.1	-1.23815779170088	3.93431955172023	0.0154299236436398	0.042268819745428	0.11763150204747
AT1G01280.1	-9.18805273656881	4.57589314602687	4.79811758111352e-39	1.68569865918471e-36	0.0930275288333999
AT1G01300.1	-1.96495200835651	6.6510590892325	9.7568480866696e-05	0.000479081013843354	0.111912986176735
AT1G01310.1	-6.78169990607135	3.29536584791023	6.64255622319357e-24	4.30174389882669e-22	0.10965882551459
AT1G01320.1	1.84131291008789	8.99476862831156	0.00132521053795773	0.00495165745544268	0.145700651061438
AT1G01340.2	2.77990577779981	2.98819606872834	1.76658776989274e-07	1.45010852396628e-06	0.112222381584733
AT1G01360.1	1.5796906940834	5.36156025638337	0.000323371393934124	0.00140062820125019	0.0868059073885257
AT1G01370.1	-5.04346540032599	2.58699574684106	2.49327763953663e-11	3.63088400708894e-10	0.17328533336396
AT1G01380.1	1.6317242878784	0.0908386615980178	0.017958158712349	0.0481752418411074	0.176223371533951
AT1G01390.1	4.10545696519385	3.79896954842161	2.21584084671693e-15	5.40142435714015e-14	0.094700461542134
AT1G01400.1	-4.38968872626021	-0.362852476128695	1.55244470042678e-06	1.09713378803608e-05	0.192792277117281
AT1G01420.1	4.91476809876456	3.76506722182499	2.80178687133486e-17	8.57810695051608e-16	0.108840903511183
AT1G01440.1	1.55062709306651	4.48174879244559	0.000837396975640772	0.00329772725197696	0.0963133730988983
AT1G01460.1	-6.99400284804294	1.72265894436234	7.14226889278705e-16	1.85014386636565e-14	0.150236543611899
AT1G01470.1	3.42529376485623	5.81629275084214	2.0727374533421e-12	3.53497323201657e-11	0.0925458670980531
