baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	dispersion
AT1G01030.1	133.62704881357	-2.03190233397079	0.657669713733286	-3.08954828166957	0.00200461121570612	0.00650930508265887	1e-08
AT1G01040.2	2311.13813472424	1.33327814245592	0.406303580825406	3.28148262869691	0.00103262884979827	0.00361039154717965	0.119069779746741
AT1G01100.1	7032.62279051273	-2.26327236356111	0.323765270314302	-6.99047294777476	2.73961120563351e-12	3.52728743517776e-11	0.0225824704526641
AT1G01110.2	300.187456283777	-2.05712654520622	0.601468757578967	-3.42017190300386	0.000625815758440735	0.00230798782571666	0.236929420905911
AT1G01130.1	88.1541579548868	-2.23243486680501	0.773471744857486	-2.88625264160922	0.00389859068030488	0.0117766200391805	1e-08
AT1G01140.3	5046.37099973396	1.71246510824625	0.322956284117845	5.30246721448339	1.14247989546025e-07	8.14587463262854e-07	0.0169142198381873
AT1G01150.1	40.1920537077533	-4.50199392144467	1.15442496878825	-3.89977178522933	9.62834006229293e-05	0.000418406289165121	0.0505919748843582
AT1G01180.1	347.045052776552	3.34841414366747	0.53192632694146	6.29488328378221	3.0763124287666e-10	3.08709016694697e-09	0.102315046254637
AT1G01225.1	140.963064626276	-1.71565189827791	0.651550225431331	-2.63318441359166	0.00845884049963458	0.0232033055606552	0.0189096096004815
AT1G01240.1	1199.88508639949	1.44369116462768	0.358867499392681	4.02290864196637	5.7483798294844e-05	0.000261403685660266	0.00541407346437568
AT1G01250.1	548.270246837148	-1.17391129368287	0.416873490160958	-2.81598931423922	0.00486272840349374	0.0143154627191293	0.000910298177991521
AT1G01280.1	848.701819028081	-8.81879556986116	0.740174745827618	-11.9144777899718	9.94875471306942e-33	5.9798201579773e-31	0.312547476614687
AT1G01300.1	3594.14098690721	-1.8446475061478	0.379632119166586	-4.85903961497617	1.17956532337303e-06	7.23805741009725e-06	0.0896942746480135
AT1G01310.1	348.253868776749	-6.57168942728377	0.640578435331819	-10.2589925992117	1.07825712964059e-24	3.96460279949149e-23	0.0567609433314332
AT1G01320.1	18533.0606178087	2.0090566882409	0.413805883673958	4.85507037841891	1.20343994857574e-06	7.37870249653956e-06	0.1785737903581
AT1G01340.2	287.533261169312	2.75657733451213	0.527453297073193	5.22620173161911	1.73027576530196e-07	1.20084140086062e-06	0.0428811640449858
AT1G01360.1	1491.67790927948	1.6045502531243	0.343221147746791	4.67497490658136	2.93989564380446e-06	1.69926554140277e-05	1e-08
AT1G01370.1	212.65997107841	-4.94221979691776	0.696310831079116	-7.09772069645749	1.26831173555368e-12	1.69310129899775e-11	0.215828356559284
AT1G01390.1	506.424609383432	4.08699007419458	0.440875422170726	9.27016991346804	1.85849622621126e-20	4.85027794649353e-19	0.000910298177991521
AT1G01400.1	25.6971642096217	-3.71708894740547	1.33208205428375	-2.79043542058984	0.00526371997882968	0.015351799777351	0.4367296480555
AT1G01420.1	494.559556561635	4.87453524670336	0.458888502901335	10.6224828381709	2.34246409032577e-26	9.75678011164593e-25	1e-08
AT1G01440.1	809.495149550303	1.60568874829631	0.410241057653163	3.91401279404324	9.07748225832238e-05	0.000396560365400438	1e-08
AT1G01460.1	115.503568934587	-6.37722488062703	1.07864332363056	-5.91226473192474	3.37435624255095e-09	2.97787901040033e-08	1.31878910332286
AT1G01470.1	2054.16366123719	3.4373133443823	0.339002349798387	10.1394971050394	3.68994247556125e-24	1.28351357384552e-22	1e-08
AT1G01490.1	2441.27029391442	1.46674615648988	0.328513529672026	4.4647968013805	8.01447776964443e-06	4.297293707731e-05	0.00466265952085178
AT1G01520.1	408.960171589902	2.60822327835399	0.520663173309673	5.00942530998385	5.45928081644626e-07	3.52031056760338e-06	0.131930832245669
AT1G01550.1	7604.92090665663	1.44748819734494	0.328477453462837	4.40665921537505	1.04977151955885e-05	5.53791473971918e-05	0.0300398702061792
AT1G01560.2	161.063585063635	1.58484655689407	0.654720081345447	2.42064754396599	0.015492890644635	0.0392670478311313	0.118538755155602
AT1G01570.1	167.395764505143	-1.55297309347331	0.601222528642215	-2.58302545145889	0.00979380976838812	0.0262871564595526	1e-08
AT1G01600.1	2481.82175552962	-4.92905413813879	0.457094464025713	-10.7834474623204	4.12143753686978e-27	1.81789871279308e-25	0.215664215367951
AT1G01620.1	10032.5624562692	-1.60212923612982	0.457248961790708	-3.50384444801243	0.000458593149337744	0.00174652325308355	0.264553578804728
AT1G01680.1	66.3470545049185	3.94768436739882	0.89720233825774	4.39999340066896	1.08254170274372e-05	5.6952494433916e-05	1e-08
AT1G01690.1	307.325813383318	-1.58961110856876	0.564534331031809	-2.81579174407941	0.00486571962753901	0.014317002039129	0.158058331334523
AT1G01740.1	320.556801461918	1.44197169281209	0.519402978396749	2.77620990403839	0.00549966895643457	0.0159397650791054	0.0722636390443314
AT1G01780.1	571.619708844908	-1.48582270675439	0.429422766707549	-3.46004642032936	0.000540082274246599	0.0020207142146098	1e-08
AT1G01790.1	8642.11829238307	1.9201036008771	0.364436418037251	5.26869298962551	1.37398539521659e-07	9.68636741246434e-07	0.082988175501248
AT1G01820.1	2196.75686439857	0.944422514254646	0.399843245891152	2.36198191156077	0.0181775291067641	0.0450669857668342	0.105610710645339
