logFC	logCPM	pvalue	padj	dispersion
AT1G01030.1	-2.13229535049747	1.92440819266546	0.000557627932178448	0.00189295847335506	0.154016071750075
AT1G01040.2	1.2212230340448	5.99621952141124	0.0153105480305432	0.0365196703200157	0.116205830799822
AT1G01046.1	1.75938568614346	-0.0390073777668891	0.00319512430793225	0.00913258072903501	0.12427839695089
AT1G01100.1	-2.35407022522985	7.61910500346156	6.08595898550247e-06	2.99891891801358e-05	0.116046182308017
AT1G01110.2	-2.27035587950755	3.08082632448409	0.000170065215635123	0.000642352858832661	0.151721856268481
AT1G01130.1	-2.3877838264195	1.33423316255107	0.000464112301308766	0.00160141563986685	0.179881792108832
AT1G01140.3	1.70660451105291	7.11880697883637	0.000410609634496463	0.0014343145677373	0.10456786465749
AT1G01150.1	-5.05579787981107	0.24740341259557	4.49196699455428e-10	3.80424553916663e-09	0.142526926791714
AT1G01180.1	3.34385332980401	3.25878913716368	1.44671191847166e-09	1.1456044456349e-08	0.115508519596333
AT1G01225.1	-1.77094022289252	1.99680959140729	0.00296874458405224	0.00856127547542117	0.147492158403896
AT1G01240.1	1.43003222984916	5.05028815495938	0.000965735132055804	0.00312062173268778	0.084969535576823
AT1G01250.1	-1.24002557978597	3.93787952989181	0.0145542738518885	0.0349656507094537	0.116104839618724
AT1G01280.1	-9.18926171636443	4.57846369311555	4.79447565857173e-40	1.43488785481755e-37	0.0902471295290833
AT1G01300.1	-1.96381790205564	6.65170943569088	0.000116925779683151	0.000455591909311085	0.114337730429313
AT1G01310.1	-6.78261186152732	3.29813711810055	6.94566443723572e-24	3.22719673429644e-22	0.109796440354512
AT1G01320.1	1.84333146641883	8.99568800711711	0.00157516994897162	0.00484289900834646	0.150570937380895
AT1G01340.2	2.78000941720284	2.99010271588668	1.50836444680395e-07	9.24600146292388e-07	0.110937861923811
AT1G01360.1	1.57932799226832	5.36304828188228	0.000278149436544753	0.00100604956408213	0.08492123654492
AT1G01370.1	-5.04452725700761	2.5906986086891	1.93887695702033e-11	1.9699493236306e-10	0.171373100591721
AT1G01380.1	1.62840779980249	0.0934256152905919	0.0121610304870333	0.0298755590827638	0.154084110939257
AT1G01390.1	4.10494636110832	3.80050142920324	1.71309427835584e-15	2.88363785432753e-14	0.0939145351183722
AT1G01400.1	-4.39258459018143	-0.358831183910703	3.44039907968076e-07	2.02123445931245e-06	0.163921989985911
AT1G01420.1	4.91445263283738	3.76610317243325	1.90014805222691e-17	4.11382053307126e-16	0.107605993535798
AT1G01440.1	1.55127007441235	4.48300823916627	0.000769677305035623	0.00253909917892364	0.0949070119529851
AT1G01460.1	-6.99380947518119	1.72430976849575	1.32020074137161e-16	2.59588456885542e-15	0.141280522123962
AT1G01470.1	3.42501940349812	5.81787855512777	5.18720685057651e-13	6.50029843695089e-12	0.0876947467278318
AT1G01490.1	1.43146666284367	6.07316928310134	0.00190195090856692	0.00573771167213837	0.0965965479285331
AT1G01520.1	2.69397254016874	3.49526903383053	9.38543631454175e-07	5.204441810279e-06	0.122258914234162
AT1G01550.1	1.42846984327995	7.71225353301991	0.00292371062850703	0.00844576792061697	0.104974929309482
AT1G01560.2	1.63457166884581	2.1654106944305	0.0037837377713374	0.0106328151594156	0.136170158340338
AT1G01570.1	-1.62841777947689	2.24185158324192	0.0022514164489335	0.00668689085701192	0.120144020424437
AT1G01600.1	-4.95750750944908	6.1234705687454	1.44837105906416e-16	2.83693930924108e-15	0.120789049911744
AT1G01620.1	-1.4405382940434	8.12780053710732	0.0195922508487102	0.0453041582799798	0.172084710069983
AT1G01680.1	4.15350635714774	0.900564848292335	1.37285400101432e-09	1.08966270571928e-08	0.140884640398024
AT1G01690.1	-1.61613433637191	3.11001547804699	0.00250499972995405	0.00734783071552245	0.124742514344047
AT1G01740.1	1.47126818068511	3.15217549924857	0.00422297012381941	0.011715057932095	0.116158608342975
AT1G01780.1	-1.52207885556605	4.00073238831564	0.00106450722454983	0.00341269478998323	0.0960997076541541
AT1G01790.1	1.93705013126382	7.89363605135629	0.000125026925536366	0.000484006650483277	0.112619160727497
AT1G01830.2	1.16146059332529	6.1591716784919	0.0110624438816164	0.0274953340785021	0.0962298768991204
AT1G01880.1	-2.0967363559879	2.29377585854076	0.000450238372776583	0.0015577696573234	0.147656646997387
AT1G01920.1	-1.72753387940353	4.04828243113413	0.000136494990104013	0.000524808151068726	0.089997077812563
AT1G01970.1	1.00097968395402	5.0013199847474	0.0213033244953996	0.0486581320769783	0.0871556479926315
AT1G01980.1	-6.35149836991833	3.1078949208971	8.66003898342618e-14	1.21210765716442e-12	0.194153499381291
AT1G02040.1	-9.00519464915135	2.31248399337193	1.38995005545001e-20	4.40605507452696e-19	0.140060711510659
AT1G02050.1	-5.04259567576565	6.27847672442474	7.55981426149242e-19	1.9474655700713e-17	0.107765006478846
AT1G02065.1	-7.16792892438208	3.546859769543	7.70008022315353e-18	1.73729858782037e-16	0.168792111048317
AT1G02070.1	-1.81804571839674	1.35373821818698	0.00579181385936656	0.0155479757092691	0.175909519847958
AT1G02120.1	1.35090888175787	6.52273691342881	0.00360656784190621	0.010179925402307	0.0984020963086922
AT1G02180.1	-2.20891984154492	2.98914718883048	3.59699412909274e-05	0.00015518852559077	0.118774522316139
