logFC	AveExpr	t	pvalue	padj	dispersion
AT1G01030.1	-2.12562132507029	1.48003448479661	-4.49886015943504	0.00160925901534445	0.00497116427159606	0.472479972646499
AT1G01040.2	1.34728582537899	5.81177831751695	4.18401152144197	0.00252468576931932	0.00720009530429058	0.322008153771684
AT1G01046.1	1.74261325108486	-0.344133950653829	2.9965544226684	0.0155518278019471	0.0324610510356334	0.581538996222564
AT1G01100.1	-2.29637178511095	7.15292887331754	-7.0010410982708	7.34122853714396e-05	0.000416697268569625	0.328004328624515
AT1G01110.2	-2.17420196483965	2.57670864902637	-4.5750861333408	0.00144616356557945	0.00456080500900472	0.475226455081408
AT1G01130.1	-2.3504517969586	0.751066651293184	-4.89412200943231	0.000933203536912592	0.00318798636829828	0.480260155433118
AT1G01140.3	1.68021875991462	6.86810646092525	5.55289435834442	0.000395598849919598	0.0015911837647611	0.302584319363059
AT1G01150.1	-4.78790524835608	-1.28381055733586	-7.95202889594902	2.76941912139842e-05	0.000197409627108859	0.602098572704529
AT1G01180.1	3.37403049236091	2.41766649335616	7.7063918693454	3.53092601734702e-05	0.000236998269719753	0.437822336258578
AT1G01225.1	-1.79557021136962	1.66936425891238	-4.14130145198929	0.00268669016882863	0.0075855759747269	0.433576312225981
AT1G01240.1	1.41927322734752	4.87012447665133	5.11901060361148	0.000691398611279735	0.0024925869155277	0.277255379456768
AT1G01250.1	-1.2280532964384	3.7484095107687	-4.05446097803775	0.00305129840596606	0.00839746741826805	0.302889410723283
AT1G01280.1	-9.19272912738463	0.976366768024261	-15.7757097859681	1.01844254584651e-07	6.90297320567455e-06	0.582714137880582
AT1G01300.1	-1.87986930056742	6.3025705557769	-5.823374654149	0.000283012797499973	0.00122258404625811	0.322814418136065
AT1G01310.1	-6.72068164804166	0.907694252811581	-13.0507491854435	5.01567688430767e-07	1.43829943980339e-05	0.514965198744127
AT1G01320.1	2.11793201491932	8.61693135590452	5.19277924898823	0.000627610879932636	0.00231051176148862	0.407860976437999
AT1G01340.2	2.77618531043666	2.39027692685787	6.82319535895486	8.90499339333735e-05	0.000486119958550988	0.406874662733077
AT1G01360.1	1.58148813668246	5.15054396114765	5.80517761964227	0.000289372566194755	0.0012450361722261	0.272427174550417
