logFC	AveExpr	t	pvalue	padj	dispersion
AT1G01010.1	0.318355608469985	2.65847735005439	0.831409232075048	0.427892294170971	0.514446510230604	0.382910841241715
AT1G01020.1	0.197517304066038	3.48626214342121	0.629453109296679	0.545167331721629	0.625441139177342	0.313791926910543
AT1G01030.1	-2.12562132507029	1.48003448479661	-4.49886015943504	0.00160925901534445	0.00497116427159606	0.472479972646499
AT1G01040.2	1.34728582537899	5.81177831751695	4.18401152144197	0.00252468576931932	0.00720009530429058	0.322008153771684
AT1G01046.1	1.74261325108486	-0.344133950653829	2.9965544226684	0.0155518278019471	0.0324610510356334	0.581538996222564
AT1G01050.1	0.355478941571818	6.4693913025618	1.25410296752555	0.242337315234396	0.322044354654912	0.283452755297444
AT1G01060.1	0.67742028442008	6.43503337652249	2.0102361850145	0.0762698075589062	0.123099917014141	0.336985419658632
AT1G01070.1	0.631171242411875	3.19770239618395	2.01581619796686	0.0755928763585944	0.122172063752681	0.313109520128111
AT1G01080.2	0.146165976609356	5.68620190899787	0.539006332896705	0.603351429742399	0.678162208477165	0.271176733349007
AT1G01090.1	-0.0372788012342129	7.30094325995565	-0.0996716509694468	0.922855781089294	0.941546999596341	0.374016090549561
AT1G01100.1	-2.29637178511095	7.15292887331754	-7.0010410982708	7.34122853714396e-05	0.000416697268569625	0.328004328624515
AT1G01110.2	-2.17420196483965	2.57670864902637	-4.5750861333408	0.00144616356557945	0.00456080500900472	0.475226455081408
AT1G01120.1	0.314442600025648	6.12986318590954	0.923168241236009	0.380722358922822	0.46751226250156	0.34061245391701
AT1G01130.1	-2.3504517969586	0.751066651293184	-4.89412200943231	0.000933203536912592	0.00318798636829828	0.480260155433118
AT1G01140.3	1.68021875991462	6.86810646092525	5.55289435834442	0.000395598849919598	0.0015911837647611	0.302584319363059
AT1G01150.1	-4.78790524835608	-1.28381055733586	-7.95202889594902	2.76941912139842e-05	0.000197409627108859	0.602098572704529
AT1G01160.2	-0.152746664647165	5.05503393571076	-0.552503610319513	0.594461582567184	0.670098756259509	0.276462744847643
AT1G01170.1	0.291504743585295	5.41964601271734	1.0918987227978	0.304087707315551	0.388163390301623	0.266970495980034
AT1G01180.1	3.37403049236091	2.41766649335616	7.7063918693454	3.53092601734702e-05	0.000236998269719753	0.437822336258578
AT1G01200.1	-1.29416434283882	0.471416661487805	-2.64117428950658	0.0275423619800117	0.0525367521468946	0.489995812839974
AT1G01210.1	-0.359858738894005	3.24646509559584	-1.10227354988873	0.299796032290517	0.383896569695361	0.326469540097675
AT1G01220.1	0.586489934956127	4.93631850799529	2.02777745294278	0.0741611873216473	0.120220991172761	0.289227959461229
AT1G01225.1	-1.79557021136962	1.66936425891238	-4.14130145198929	0.00268669016882863	0.0075855759747269	0.433576312225981
AT1G01230.1	0.534102060145971	4.73629006561881	1.86657899228409	0.0958258452510769	0.148932804314502	0.286139543171651
AT1G01240.1	1.41927322734752	4.87012447665133	5.11901060361148	0.000691398611279735	0.0024925869155277	0.277255379456768
AT1G01250.1	-1.2280532964384	3.7484095107687	-4.05446097803775	0.00305129840596606	0.00839746741826805	0.302889410723283
AT1G01260.1	0.327022601365793	4.91658659553146	1.15976968155728	0.276871988288081	0.359465507728914	0.281972021312614
AT1G01280.1	-9.19272912738463	0.976366768024261	-15.7757097859681	1.01844254584651e-07	6.90297320567455e-06	0.582714137880582
AT1G01290.1	0.358276593456231	4.00749433605156	1.20906977060748	0.258355518616432	0.339475281467136	0.296324167691514
AT1G01300.1	-1.87986930056742	6.3025705557769	-5.823374654149	0.000283012797499973	0.00122258404625811	0.322814418136065
AT1G01310.1	-6.72068164804166	0.907694252811581	-13.0507491854435	5.01567688430767e-07	1.43829943980339e-05	0.514965198744127
AT1G01320.1	2.11793201491932	8.61693135590452	5.19277924898823	0.000627610879932636	0.00231051176148862	0.407860976437999
AT1G01340.2	2.77618531043666	2.39027692685787	6.82319535895486	8.90499339333735e-05	0.000486119958550988	0.406874662733077
AT1G01350.1	-0.2594418266246	4.3143116036269	-0.915867900542516	0.384332784381358	0.471291666362076	0.283274287122541
AT1G01360.1	1.58148813668246	5.15054396114765	5.80517761964227	0.000289372566194755	0.0012450361722261	0.272427174550417
AT1G01370.1	-5.21063295411422	0.844210255993659	-9.74176980353169	5.54348645155861e-06	6.00721473778856e-05	0.534875393198595
AT1G01380.1	1.71681957230608	-0.253030532584796	2.94702650290048	0.0168332479369754	0.0347719680029829	0.58255993647033
AT1G01390.1	4.09901051299341	2.66449284590093	10.2970070294089	3.53894319841313e-06	4.40495614867924e-05	0.398077859060052
AT1G01400.1	-4.18817228044403	-1.70783887515153	-5.74921140537324	0.000309927963584111	0.00131184359128541	0.728477696354971
AT1G01420.1	4.89657880269548	2.23332620453413	11.2886613164752	1.66858042284205e-06	2.7518055255477e-05	0.4337608034665
AT1G01430.1	0.804954313824815	4.75081231516345	2.2584344823235	0.0511742399218234	0.0884005565443534	0.356421370699526
AT1G01440.1	1.58569655928128	4.25532040397293	5.12207927449086	0.000688609577129677	0.00248341192701862	0.30958063596915
AT1G01448.1	0.917903174501612	2.99834710077816	2.48590510835359	0.035412430896888	0.0649962464991494	0.369243046090983
AT1G01460.1	-7.1946886416404	-0.956335291057646	-9.64099839160807	6.02792980167422e-06	6.40932076248026e-05	0.746259707698214
AT1G01470.1	3.4291421893088	4.9740398089164	11.4169252592275	1.52044646316166e-06	2.60886502451375e-05	0.30035601630459
AT1G01490.1	1.44402745520886	5.89148622567947	5.22044173662427	0.000605359458275554	0.00224524700845012	0.276610204281798
AT1G01500.1	0.634477137358696	4.46907872916853	2.19822344525036	0.0563974115764096	0.0959010463729539	0.288631776141589
AT1G01510.1	-0.232619870291363	4.9115709815844	-0.596974926256239	0.565679561484373	0.644382627088844	0.38966438967575
AT1G01520.1	2.64535918757989	2.88863431581303	6.66699496297411	0.000105826512814027	0.000558236226614378	0.396784338711996
AT1G01540.2	0.351550064356839	6.09660989283941	1.21762358602624	0.255247872888017	0.336260322445885	0.288718178911215
AT1G01550.1	1.41882879159067	7.53594024385563	4.38817266236438	0.00188222425082544	0.00565974375421816	0.323330210718327
AT1G01560.2	1.60926488935208	1.90134589149586	3.57860536488935	0.0062422454824229	0.0152157070083589	0.449690514953396
AT1G01570.1	-1.6247770069128	2.00581696704642	-3.83242707469799	0.0042450207361813	0.0110276253512925	0.423955100839287
AT1G01580.1	0.283487794136008	2.97226914857071	0.763288601444533	0.465413030218648	0.550624168641797	0.371403154192927
AT1G01590.1	-0.917927236494174	2.90029790223763	-2.49856409565623	0.0346937158469772	0.0638383192768385	0.367381904706786
AT1G01600.1	-5.05684759700617	4.53378122865821	-11.5784592724283	1.3542240812952e-06	2.45606980506784e-05	0.436746157500249
AT1G01610.1	0.0196682721374284	5.99435419818187	0.0404434234797587	0.9686492248473	0.977293162206505	0.486315708344326
AT1G01620.1	-1.85704486853034	7.79664023178747	-4.16040571199126	0.00261289435203151	0.00741100597367948	0.446361484212443
AT1G01630.1	-0.0312991640705755	5.88080285769976	-0.114830238766463	0.911176813207583	0.932248721813258	0.27256900627221
AT1G01640.1	0.4430477244758	1.76270371568421	0.965495040556117	0.360274244173091	0.446579433741416	0.458881408878712
AT1G01650.1	0.824015612705386	5.85881782261984	2.74113170775626	0.0234361710699734	0.0457856885326897	0.300611462912842
AT1G01660.1	0.121611286444488	0.894953781071967	0.240476711796866	0.81551151369844	0.856327063375314	0.505709203755309
AT1G01670.1	0.678305573023155	1.75784258451702	1.54551023013631	0.157654349603785	0.224915784702884	0.438887792391598
AT1G01680.1	4.09389194596958	-0.293536084062957	7.40692619792062	4.78698803727251e-05	0.000299846086631372	0.552711318646442
AT1G01690.1	-1.652495667422	2.84537073591674	-3.9042160998492	0.00381234908454011	0.0100838466622661	0.423259272837339
AT1G01700.1	0.252604709226856	2.1107565817053	0.601168525458747	0.563006554536747	0.642187844859738	0.420189511808016
AT1G01710.1	0.37448042653323	5.55543754028511	1.33990723534227	0.214098958104994	0.290378400292884	0.279482352700016
AT1G01720.1	0.535381523958505	5.49834607615028	2.00430440327567	0.0769957851930505	0.124055199466691	0.26711587475611
AT1G01725.1	0.944690299142928	3.57546194930285	3.02815325860524	0.0147872263225413	0.0311397016859743	0.311969117302224
AT1G01730.1	0.709235222145391	4.657209782515	2.56047919836591	0.0313838666218267	0.0586010707056422	0.276993159170371
AT1G01740.1	1.44141482050558	2.9408211461977	3.7637827381064	0.00470766436979976	0.0120419403707636	0.382969719774732
AT1G01750.1	-1.10190568210022	-0.003532630289515	-1.9356227832226	0.0858973135967807	0.135858881558101	0.569277077977798
AT1G01760.1	0.150362826950458	1.48133062496919	0.334177029491605	0.746132032659875	0.79931215437496	0.449949618557596
AT1G01770.1	0.882454723260017	3.94585710084933	2.61792823184189	0.0285975610556815	0.0542545879597441	0.337081327336139
AT1G01780.1	-1.53527431472678	3.79001112354323	-4.69636669349766	0.00122218883852742	0.00397074793308933	0.326906822853598
AT1G01790.1	1.8819886278899	7.56767688683912	5.34000591606686	0.000518553333812792	0.00197993975542667	0.352431936868726
AT1G01800.1	0.576667584783409	6.23834961627237	2.07247990800501	0.0690379777158942	0.11347967728747	0.278250024309531
AT1G01820.1	0.899808481459895	5.81098680420307	2.85983661436248	0.0193593033652928	0.0389887365449851	0.314636324656079
AT1G01830.2	1.16771129631831	6.04033709959902	4.25958199003332	0.00226305255483917	0.00658122071213659	0.274137532520926
AT1G01840.1	-1.10011135891107	0.181881706420404	-1.95961297548414	0.0826819862919813	0.131653321573281	0.561392158897742
AT1G01860.1	0.56461742905186	3.50806036584542	1.81056853349375	0.104664289150825	0.160224383068184	0.311845378182041
AT1G01880.1	-2.15880612378016	1.867325506559	-4.41779059847495	0.00180462786070911	0.0054659892235885	0.488661939867724
AT1G01900.1	-1.59298584167294	3.15716281786896	-2.38518920632087	0.0416869847286544	0.0745035414255595	0.667865608921693
AT1G01910.1	-0.108829332362155	5.49403098522598	-0.396482420097512	0.701263908481182	0.761589295133173	0.274487157174305
AT1G01920.1	-1.72715153513042	3.79660339678348	-5.41158154356085	0.000473119024391189	0.00183608796059975	0.319158368256602
AT1G01930.1	0.0261332411536523	3.90427004805982	0.0854767257400814	0.93381017466217	0.950563841981205	0.305735168578153
AT1G01940.1	-0.440440624982703	3.42937786344707	-1.07350800799148	0.311813179084867	0.396192388336775	0.410281638985406
AT1G01950.3	0.0597095976352184	4.83615248709412	0.212446051302748	0.836635482594304	0.873692052600463	0.281057695678838
AT1G01960.1	0.502388770797715	6.8529523952792	1.70781473716078	0.122884429726238	0.182875395199902	0.294170532591216
AT1G01970.1	0.9982518470696	4.90034441442486	3.70467805579604	0.00514880134338597	0.0130068590043754	0.269457111261751
AT1G01980.1	-6.02525650374761	0.774297279416147	-9.42086029140078	7.25742897914825e-06	7.3298231838534e-05	0.639565423685072
AT1G01990.1	0.320535482427663	4.24922512670966	1.09208150195799	0.304011684153044	0.388090690264621	0.293508755393233
