baseMean	baseMeanA	baseMeanB	log2FoldChange	X.Intercept.	batch2	groupLeaf	dispersion	pvalue	padj
AT1G01030.1	137.987084728871	224.849708570249	51.1244608874918	-2.13687538423298	-12.3691836519156	0.627230204867643	-1.48185692292996	0.10981423032803	4.3040281266593e-05	0.000182732650344239
AT1G01040.2	2353.57713068562	1414.00697907485	3293.14728229639	1.2196777954494	-10.4609123950058	0.452583608881381	0.924927692981338	0.072142671094608	0.000882481090901595	0.00284047337847918
AT1G01046.1	34.0089845834402	15.438376660325	52.5795925065554	1.76798189934513	-14.6839836520233	0.00840172726923478	1.22002629250295	0.144614493195826	0.00476270773672646	0.0127485794698182
AT1G01100.1	7239.57907345689	12107.6990596191	2371.45908729469	-2.35207783792734	-7.86311926019497	-0.383980878605758	-1.6022170408936	0.0878830147545467	2.83396016286309e-07	1.76141716801039e-06
AT1G01110.2	310.355836119415	514.375278195033	106.336394043797	-2.27418585643707	-11.535531698023	0.519242969717841	-1.44944018868097	0.109641678607017	6.11682159334594e-05	0.000251638448042419
AT1G01130.1	90.661265323962	152.234363451092	29.0881671968317	-2.38778974895565	-12.0735471776056	-0.826834069936374	-1.64024338409363	0.121804844408893	3.1262007517389e-05	0.000136182576454392
AT1G01140.3	5122.8294905637	2402.11346793373	7843.54551319368	1.70720164153766	-9.53412369699831	-0.209263409897728	1.16930454718631	0.0754932607169846	3.642465348152e-05	0.000156680641376125
AT1G01150.1	41.5239996718381	80.7363386035937	2.31166074008253	-5.12621657382435	-12.881029084778	-0.343300095536939	-3.4872211799493	0.155194700050057	9.91982181089289e-10	8.54186617086261e-09
AT1G01180.1	351.250099076404	63.0053236103209	639.494874542487	3.34338715733239	-13.420492154851	0.231092992795108	2.3528204436429	0.0888552163784255	3.44717297825261e-12	3.9642489249905e-11
AT1G01200.1	65.8766275045195	92.6160537300898	39.1372012789493	-1.24272169487383	-12.4316024933067	-1.20319719997007	-0.923858722619794	0.133496155675118	0.0217463732802967	0.0478774531894108
AT1G01225.1	144.928248825735	224.156576522215	65.699921129254	-1.77054328344052	-11.760366425965	-0.531690269931883	-1.26641756031963	0.110365427177675	0.00039886819242013	0.00138641966561467
AT1G01240.1	1220.48321839107	660.424908265631	1780.54152851651	1.43084964646009	-11.0355993807499	0.205640275029738	0.983954424350851	0.0589116465319244	7.99823753999677e-05	0.000320316991021871
AT1G01250.1	562.44172622198	789.983331093553	334.900121350406	-1.23809131347161	-10.5177367016676	-0.556575809883685	-0.84690215343422	0.0663485492414548	0.00143617168830607	0.00439945956092975
AT1G01280.1	878.479101314558	1754.10069469498	2.85750793413648	-9.26175834895643	-9.99379445246978	0.0829837190954155	-6.37528306217436	0.067580927010117	1.3235517866516e-50	2.88370128028139e-48
AT1G01300.1	3709.10792841536	5905.62871632101	1512.58714050972	-1.9650723990766	-8.95512356711432	0.346552504947369	-1.30910769410098	0.073099965970118	3.73134685582032e-06	1.92392652228373e-05
AT1G01305.1	1.51475618421875	3.0295123684375	0	-Inf	-15.9707625728932	-0.749986264952592	-3.21839127342394	0.138619162567189	0.00981249868714076	0.0239027637459506
AT1G01310.1	360.315131440969	714.241127855744	6.38913502619365	-6.80464677074279	-10.7309535124047	-0.246635824519493	-4.71223250460785	0.083582242178673	6.03353202829735e-30	3.17562642672894e-28
AT1G01320.1	18836.5284996829	8219.57114532285	29453.4858540429	1.84130336016007	-8.84058842711561	0.631434420556793	1.41220016297217	0.151659353257214	0.000626963829070638	0.00208685994550679
AT1G01340.2	291.181753906531	73.9491783146572	508.414329498405	2.78139867078444	-13.1000797485692	-0.0364395002449728	1.92324701562955	0.0895467421270131	5.25218325626968e-09	4.13495413447382e-08
AT1G01360.1	1516.34699521096	760.230439514554	2272.46355090737	1.57974845778733	-10.8826097862783	0.174249709505295	1.09690889787239	0.0580295035084422	9.91683380042558e-06	4.740179095149e-05
AT1G01370.1	219.655549662225	426.447314629486	12.8637846949651	-5.05098044488382	-10.9835432928883	-0.798545020242862	-3.61755650650932	0.109875683045343	3.92738809199773e-17	7.38348961295573e-16
AT1G01380.1	37.4283660056026	18.1355292366053	56.7212027745999	1.64506927819418	-14.3239154664394	-0.531615254481129	1.20963309989626	0.158851721391126	0.00724123014212221	0.0183767055868611
AT1G01390.1	512.184679623998	56.1569443670728	968.212414880924	4.10778725081888	-13.4472570701903	0.101778290477636	2.84699690851704	0.0688989344156734	1.59721105309312e-20	4.0261178348193e-19
AT1G01400.1	26.5166236568291	50.7429652342201	2.29028207943808	-4.46961062578715	-13.3714182605684	-0.328421998952816	-2.98360579336364	0.183602396116047	9.98230501038339e-07	5.68055607657088e-06
AT1G01420.1	500.251338161899	32.0509480900637	968.451728233735	4.91724120200086	-14.1927349235138	0.43314197686767	3.40393355801724	0.0702726060575968	1.24640945216089e-25	4.80542991254238e-24
AT1G01440.1	823.18010634686	419.005246961223	1227.3549657325	1.55051233881683	-11.5816690162647	0.330823285682483	1.10733442262749	0.0641579711315359	2.60460477976637e-05	0.000115229060192214
AT1G01460.1	119.671269984231	237.576726422434	1.76581354602858	-7.07191668756529	-11.8998777859201	-0.0943908866143014	-4.86269459355535	0.136899366701669	2.39483856616209e-17	4.5913596685233e-16
AT1G01470.1	2078.97136396685	354.016700094823	3803.92602783887	3.42559986789395	-11.6072357631757	0.0987950761633885	2.377754965488	0.0587806905174607	8.41601697092244e-19	1.81894223858816e-17
AT1G01490.1	2480.64517293134	1340.82758042691	3620.46276543577	1.43305038326652	-10.1225759791084	-0.221142263594728	1.00072546721143	0.0623291597436202	9.0948562647689e-05	0.000359016896316847
AT1G01520.1	413.872825175456	110.718776476104	717.026873874809	2.69512728622797	-12.5181042585251	-0.364089522425459	1.80206969408225	0.0881949757075868	3.00353695793854e-08	2.13823226291339e-07
AT1G01550.1	7733.21250472193	4186.58910552613	11279.8359039177	1.42989884368886	-9.1139329750983	0.0627006626667537	0.985726997428774	0.0903763986109965	0.00136007071925234	0.0041882488917833
AT1G01560.2	163.519641506224	79.6288305369235	247.410452475524	1.6355436770233	-12.922548597337	-0.221152908501329	1.09510354072488	0.119354143444893	0.00296140370919958	0.00838115120841439
AT1G01570.1	172.345868498621	260.508527930029	84.1832090672124	-1.6297261894834	-11.9540316695925	0.179767007917455	-1.13104982599128	0.10187901943565	0.000840770643441626	0.0027211768429952
AT1G01600.1	2568.91448784602	4977.75854146689	160.070434225152	-4.95871748561396	-8.72191629618679	-0.328180972606575	-3.51350116296763	0.0826308636308377	7.1386678351348e-24	2.40574817954794e-22
AT1G01620.1	10305.1050911188	15061.5880450002	5548.62213723731	-1.4406724276163	-7.37990104757693	-0.783021161590615	-1.20389361351319	0.128377901568637	0.00159118548939197	0.00481138885044119
AT1G01680.1	67.0248868534171	6.98394966217091	127.065824044663	4.1853890807001	-15.261261260453	-0.4502562410153	2.88017234087782	0.13409698734631	4.4792085161816e-10	4.03372747695611e-09
AT1G01690.1	316.194036391133	476.767165361642	155.620907420624	-1.61524898464877	-11.3618843527267	0.243512353033055	-1.16692457655483	0.0994628803058508	0.000514341307999364	0.00174106669910034
AT1G01725.1	463.238853259802	316.562708368771	609.914998150833	0.946116879488969	-11.6490459524522	-0.0363498501419721	0.656694575188661	0.0727041297997665	0.0174271624764025	0.0394211532041666
AT1G01740.1	326.08271837387	172.685475735933	479.479961011807	1.47332377621187	-12.3952011758445	0.264396810510273	0.985542046145987	0.0886370952308197	0.00156778160964017	0.00474981889840969
AT1G01770.1	632.705252277774	461.098069545615	804.312435009932	0.802682399179607	-11.7522852286381	0.714040901284497	0.642421137636294	0.0700597868193763	0.0182911341721624	0.0411568823186933
AT1G01780.1	588.305734099323	872.690834164486	303.92063403416	-1.52177601782792	-10.7785188172687	0.253322371972316	-1.0721107924282	0.066280979303895	6.36388149345281e-05	0.000260657611855122
AT1G01790.1	8766.37272562151	3630.9244663443	13901.8209848987	1.93686504906861	-9.12372235617774	-0.187730804789978	1.31468674982878	0.100918579680736	7.39523497141093e-05	0.00029833568839741
AT1G01820.1	2238.5417933651	1511.53417736332	2965.54940936689	0.972285808726873	-10.2248370252203	0.269203262529492	0.629866447586514	0.0702616431435999	0.0204068478983745	0.0453403056942066
AT1G01830.2	2634.27700166228	1627.46902030716	3641.0849830174	1.1617383324896	-10.1093391633406	0.149699977347274	0.809371856383424	0.0626236022270517	0.00146952467952635	0.00448270597234335
AT1G01880.1	178.686036054677	289.71254679303	67.6595253163234	-2.09825720514669	-11.94536239061	0.417082390004102	-1.5305628176459	0.117879144241289	4.67492178045481e-05	0.000197168894900154
AT1G01920.1	608.057435085701	934.059500542746	282.055369628656	-1.72753605149875	-10.6619158934933	0.150186806677834	-1.19867695506814	0.0636035752302781	5.46580234963631e-06	2.73299841378542e-05
AT1G01970.1	1178.89825583134	785.068965370497	1572.72754629219	1.00237746501485	-10.6296620706799	-0.273976884347836	0.692232628151495	0.0572799519907609	0.00447911706081477	0.0120561256570829
AT1G01980.1	316.478271334438	625.432955933286	7.52358673559046	-6.37729082596813	-11.6688596536476	0.950453086673549	-4.20161167646937	0.109352018027803	6.53895720592164e-20	1.54961156180129e-18
AT1G02020.1	673.272284735634	354.015576802948	992.52899266832	1.48729640453051	-12.2781290013169	0.941442811770344	1.34643282397943	0.112826819988868	0.000280477693156226	0.00100884387558855
AT1G02040.1	180.741609804505	360.894615093667	0.58860451534286	-9.26006329199324	-11.3051192136668	-0.505186207245735	-6.25522081215064	0.11276309319881	6.9211884759166e-25	2.51977879927606e-23
AT1G02050.1	2859.15109355238	5549.88163097111	168.420556133656	-5.04231686303052	-8.89868586329782	0.21366211773924	-3.52728803059474	0.0728831260221177	2.55525632432417e-27	1.10489283463777e-25
AT1G02065.1	429.650132969773	853.478356768052	5.82190917149524	-7.1957184264726	-11.135119963713	0.657151570534185	-4.81176805877196	0.105897052935836	1.55891517330834e-24	5.51824557443377e-23
AT1G02070.1	92.2016384285905	143.766803942639	40.6364729145426	-1.82288350049022	-12.8356419415759	0.735139211322625	-1.36458934279763	0.133071552114356	0.000700807980592361	0.00230805121895112
AT1G02090.1	1243.09119671207	1598.87948714135	887.302906282794	-0.849562603165517	-9.97136987265556	-0.167503261116225	-0.580165848611374	0.0598004450244513	0.0194943946527978	0.0435297891563943
AT1G02120.1	3389.79088767101	1908.79602381822	4870.7857515238	1.35149158267519	-9.93964219607324	0.134770775576912	0.936378231377399	0.0634428589120403	0.000268547171376819	0.000970901311900808
AT1G02170.1	835.459322604651	531.480921564576	1139.43772364473	1.10023226602947	-11.6019061979812	0.661517639881352	0.904982871245544	0.0788929080215641	0.00212483402359893	0.00623127974408093
AT1G02180.1	290.504972547072	477.692090286937	103.317854807206	-2.20899139445431	-11.09042969933	-0.329705107999235	-1.55726632309692	0.0876909659035462	1.09093198584284e-06	6.16688141474235e-06
AT1G02190.1	2780.20382551728	5544.70773706611	15.6999139684571	-8.46421095381279	-9.1237549134487	0.448940246960999	-5.71703329142149	0.105327607636131	2.29453537478359e-34	1.62443857036946e-32
AT1G02205.3	14583.4535040517	27129.8790943201	2037.02791378322	-3.73534496311255	-7.4877515476217	0.387354301304282	-2.46662279176093	0.155820090744274	4.44423420127463e-08	3.09949494940508e-07
AT1G02270.1	1126.33721562083	595.943639570895	1656.73079167077	1.47509139109235	-11.165981335421	0.26773645735045	1.0006890503621	0.0612227753804427	8.78802972048149e-05	0.000347882201864582
AT1G02280.1	1828.66343198454	2511.27760340425	1146.04926056482	-1.13175246012867	-9.5556171198197	-0.0865932074215909	-0.780159449535473	0.0580112851848265	0.00147914778793771	0.00451095135935083
AT1G02300.1	839.768160025528	546.838405290297	1132.69791476076	1.05057667815754	-11.4726789601871	0.577487437836225	0.773950206678982	0.0623384787845666	0.00251248884220369	0.00722932139629165
AT1G02305.1	4737.29502605751	3277.34616070496	6197.24389141005	0.919098684790732	-9.45498477511786	0.244274262374602	0.628619230906079	0.0715041693893749	0.0199626059059025	0.044434069976344
AT1G02310.1	31.6831658627786	62.2105013555159	1.15583037004127	-5.75015654480871	-13.4552956345263	0.29711111028518	-3.88006160587676	0.163453843493743	1.31757098851471e-09	1.11574721913812e-08
AT1G02340.1	2865.39843857979	1050.53774845416	4680.25912870542	2.15546040613854	-10.2253511432147	-0.438408243138514	1.40279365054662	0.0800355682237998	2.9435715873899e-06	1.54379591407316e-05
AT1G02360.1	35.9706347256815	2.27076733922014	69.6705021121428	4.93929615927413	-16.5308349205574	-0.0659304140158299	3.37687586805824	0.193076972536064	2.76275306111642e-08	1.97884652231748e-07
AT1G02370.1	379.145461184981	507.024014806993	251.26690756297	-1.01283340356862	-11.3905157401289	0.421368042227628	-0.775811456923038	0.0890727607599638	0.0128563223662695	0.0303137413109372
AT1G02450.1	172.763605376639	280.159350211634	65.3678605416445	-2.09959425841754	-11.6092498713928	-0.267676517376391	-1.5611167921282	0.17463874064588	0.00111447461211172	0.00350060610728789
AT1G02460.1	110.713513732238	63.2906706800265	158.13635678445	1.32110433177915	-13.9739534855881	1.07398172940361	0.96373904645714	0.11859937176003	0.00883274222176469	0.021853261697616
AT1G02470.2	503.778081745078	677.93072142195	329.625442068205	-1.04031024918301	-10.8074772946724	-0.218951738498431	-0.70928741669658	0.0698660634439959	0.0090301473560538	0.0222301236392439
