logFC	AveExpr	t	pvalue	padj	dispersion
AT1G01030.1	-2.12524994585506	1.4780668312324	-4.1044998925987	0.000163652170212752	0.00057863981582584	0.517785357891553
AT1G01040.2	1.34156879960306	5.80981066395273	4.26672345321154	9.76209300737237e-05	0.000361540896119657	0.314426002602363
AT1G01046.1	1.74341393893116	-0.346101604218045	2.74642180020044	0.00856507300442547	0.0199908604768628	0.634794676769576
AT1G01100.1	-2.30177002292719	7.15096121975332	-6.7412798000193	2.20696182301362e-08	1.71872732052149e-07	0.341444071631711
AT1G01110.2	-2.16555453890226	2.57474099546215	-4.78990374886328	1.76588253531371e-05	7.68652540460385e-05	0.452108153408339
AT1G01130.1	-2.35005614322229	0.749098997728967	-4.46560785812384	5.13338322288361e-05	0.000202923866191796	0.526256719776024
AT1G01140.3	1.68311997336494	6.86613880736103	5.19508926811893	4.5325206511322e-06	2.2259483735929e-05	0.323982878156465
AT1G01150.1	-4.79125488710032	-1.28577821090008	-6.67561599767349	2.77066476331974e-08	2.1178216980654e-07	0.717724759598232
AT1G01180.1	3.37737392310497	2.41569883979194	7.48693222090261	1.68256491885665e-09	1.62063638140456e-08	0.451102510808866
AT1G01200.1	-1.2908517781915	0.469449007923588	-2.43779823294702	0.0186915865110836	0.0397640194000353	0.529515429433636
AT1G01225.1	-1.79688303222464	1.66739660534817	-3.83086003748126	0.000384406727906958	0.00125178258539601	0.4690547330479
AT1G01240.1	1.41999732238249	4.86815682308711	4.56303922795033	3.73401302931286e-05	0.00015209879739401	0.311195510589625
AT1G01250.1	-1.22631245121258	3.74644185720448	-3.59841475720595	0.000778691209678227	0.00235763170733774	0.340792413869705
AT1G01280.1	-9.1322843441416	0.974399114460044	-13.8664038677574	4.62337726447219e-18	5.15653338870061e-16	0.658590679402921
AT1G01300.1	-1.88252516796466	6.30060290221269	-5.81845897632555	5.37807718590688e-07	3.20035650044615e-06	0.323543600741085
AT1G01305.1	-2.51410684188738	-4.74718413430704	-2.54655317207983	0.0142833109093521	0.0312921300505301	0.987258726600259
