logFC	AveExpr	t	pvalue	padj	dispersion
AT1G01010.1	0.318101576312508	2.65650969649018	0.765736406423362	0.447736308757091	0.554559216780925	0.415419162056447
AT1G01020.1	0.198368147974183	3.48429448985699	0.566917707394443	0.573520382909222	0.67463663368671	0.349906424489516
AT1G01030.1	-2.12524994585506	1.4780668312324	-4.1044998925987	0.000163652170212752	0.00057863981582584	0.517785357891553
AT1G01040.2	1.34156879960306	5.80981066395273	4.26672345321154	9.76209300737237e-05	0.000361540896119657	0.314426002602363
AT1G01046.1	1.74341393893116	-0.346101604218045	2.74642180020044	0.00856507300442547	0.0199908604768628	0.634794676769576
AT1G01050.1	0.355719961312066	6.46742364899758	1.13949930799467	0.260381532328107	0.36817846494007	0.312172160892379
AT1G01060.1	0.667155048693671	6.43306572295827	1.89306284431272	0.0646370763048761	0.115978655938767	0.352420972551433
AT1G01070.1	0.631923589427412	3.19573474261974	1.80087580729189	0.078266401149769	0.136165729089135	0.350897928035183
AT1G01080.2	0.146353961867848	5.68423425543365	0.480452989216872	0.633177600343806	0.730425613005377	0.304616612140143
AT1G01090.1	-0.0424930907026217	7.29897560639143	-0.125098354281262	0.900989650177122	0.926605990262292	0.339677455764794
AT1G01100.1	-2.30177002292719	7.15096121975332	-6.7412798000193	2.20696182301362e-08	1.71872732052149e-07	0.341444071631711
AT1G01110.2	-2.16555453890226	2.57474099546215	-4.78990374886328	1.76588253531371e-05	7.68652540460385e-05	0.452108153408339
AT1G01120.1	0.330048462836459	6.12789553234532	1.02511239552374	0.310659557952544	0.414832646133324	0.321963195721414
AT1G01130.1	-2.35005614322229	0.749098997728967	-4.46560785812384	5.13338322288361e-05	0.000202923866191796	0.526256719776024
AT1G01140.3	1.68311997336494	6.86613880736103	5.19508926811893	4.5325206511322e-06	2.2259483735929e-05	0.323982878156465
AT1G01150.1	-4.79125488710032	-1.28577821090008	-6.67561599767349	2.77066476331974e-08	2.1178216980654e-07	0.717724759598232
AT1G01160.2	-0.152190854447761	5.05306628214655	-0.495940274258133	0.622292899256985	0.720590154355505	0.306873352190281
AT1G01170.1	0.292263030344139	5.41767835915313	0.965532566076883	0.339316348546226	0.445046387530915	0.302696191317142
AT1G01180.1	3.37737392310497	2.41569883979194	7.48693222090261	1.68256491885665e-09	1.62063638140456e-08	0.451102510808866
AT1G01183.1	-0.848273007869435	-5.61204203896637	-0.764231669036369	0.448623529208991	0.554559216780925	1.10996840648993
AT1G01190.1	-1.23013419670794	-2.41911809150386	-1.49799183430005	0.140952265750866	0.22071872415445	0.821188853330919
AT1G01200.1	-1.2908517781915	0.469449007923588	-2.43779823294702	0.0186915865110836	0.0397640194000353	0.529515429433636
AT1G01210.1	-0.358871622821338	3.24449744203162	-0.982621808192163	0.33092290217916	0.435946523958165	0.365218459258088
AT1G01220.1	0.587161978428094	4.93435085443107	1.90229390411316	0.0633909527617873	0.114363317178432	0.30865996950236
AT1G01225.1	-1.79688303222464	1.66739660534817	-3.83086003748126	0.000384406727906958	0.00125178258539601	0.4690547330479
AT1G01230.1	0.535564351536503	4.73432241205459	1.73209526254091	0.089943847601175	0.152590196214078	0.309200286565562
AT1G01240.1	1.41999732238249	4.86815682308711	4.56303922795033	3.73401302931286e-05	0.00015209879739401	0.311195510589625
AT1G01250.1	-1.22631245121258	3.74644185720448	-3.59841475720595	0.000778691209678227	0.00235763170733774	0.340792413869705
