baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	dispersion
AT1G01010.1	131.006234143011	0.157596660339471	0.320009634037262	0.492474736935951	0.622383776870238	0.999885281293585	0.0305770869445812
AT1G01020.1	349.387029359083	-0.152882587874182	0.292898907506268	-0.521963667177252	0.60169562788469	0.999885281293585	0.0124850874322983
AT1G01030.1	48.9137727678605	0.152952501680031	0.325319923810095	0.470160265281867	0.638240520243018	0.999885281293585	0.118537996439492
AT1G01040.2	2179.5635908253	0.0457817288065096	0.264227091090731	0.173266596614005	0.862441878584912	0.999885281293585	0.00298566339355687
AT1G01046.1	25.6707214380131	-0.031485703707002	0.304493539257689	-0.103403519771748	0.917642718749367	0.999885281293585	1e-08
AT1G01050.1	2230.09796438521	-0.190179204628644	0.263486777876132	-0.721778930091323	0.470430405535534	0.999885281293585	1e-08
AT1G01060.1	3026.2367513264	-0.315101801990615	0.242010011098224	-1.30201969976657	0.192909651393301	0.999885281293585	1.06344108992559
AT1G01070.1	192.386239904097	-0.518705513145869	0.315589410143987	-1.6436087412097	0.100257047192133	0.999885281293585	0.0596165699099243
AT1G01080.2	2603.32979954129	-0.115028731537554	0.265850305243367	-0.432682337649579	0.66524556299349	0.999885281293585	0.0181684483334114
AT1G01090.1	6112.6158827486	-0.0549853823462743	0.262409296073562	-0.209540527599526	0.834026301068591	0.999885281293585	0.0178838944196465
AT1G01100.1	4101.01462208949	-0.212532702255108	0.260705219903969	-0.815222274158507	0.414945090176829	0.999885281293585	0.0014292801069426
AT1G01110.2	64.0027864285207	0.0448323246889294	0.327986834549395	0.136689403251573	0.891276305889672	0.999885281293585	1e-08
AT1G01120.1	1887.49733419236	-0.704418962453185	0.283200152484262	-2.48735375413448	0.0128697355342298	0.999885281293585	0.125926653329692
AT1G01130.1	41.071742644226	-0.44768706733728	0.322804510550456	-1.38686744672146	0.165482185906516	0.999885281293585	1e-08
AT1G01140.3	4183.62138617189	-0.288227157382035	0.261706838070725	-1.10133598153879	0.270750456598893	0.999885281293585	0.00714650788013946
AT1G01150.1	17.0190092949968	-0.0234726836350769	0.271965813469997	-0.0863074786333995	0.931221993572432	0.999885281293585	1e-08
AT1G01160.2	812.311795319286	0.148672942815239	0.277377334810766	0.535995282082682	0.591961811107767	0.999885281293585	0.020637722911132
AT1G01170.1	1462.64124086089	-0.108278660335197	0.266886012581645	-0.405711259604035	0.684954768166299	0.999885281293585	1e-08
AT1G01180.1	371.111264153304	0.0713897033113919	0.292643715725615	0.243947501604058	0.807271479302582	0.999885281293585	0.02024875622498
AT1G01190.1	196.404734041958	0.235610871072974	0.324706207895295	0.725612462416945	0.46807637899902	0.999885281293585	0.00212095088792019
AT1G01200.1	34.252817653348	-0.257508277387104	0.311833990278867	-0.825786429365252	0.408925253561877	0.999885281293585	0.420575023116298
AT1G01210.1	273.689734147742	0.1032113978522	0.301361169174255	0.342484063673513	0.731986635030292	0.999885281293585	0.0414331441427028
AT1G01220.1	1232.88718717423	-0.134189682211138	0.269874646916317	-0.497229672162381	0.619027099329789	0.999885281293585	0.00659579361531484
AT1G01225.1	75.3872353615106	-0.193994008769023	0.327930556488665	-0.591570394800122	0.5541383034007	0.999885281293585	0.144510415046736
AT1G01230.1	740.125240953245	-0.0105949614803422	0.275873285455832	-0.0384051738204224	0.969364635914832	0.999885281293585	1e-08
AT1G01240.1	1064.21433401013	0.303552161228286	0.270680145748224	1.12144228528175	0.262099645452792	0.999885281293585	1e-08
AT1G01250.1	210.045182606206	-0.295333637323676	0.307832545946291	-0.95939705275739	0.337358759280167	0.999885281293585	0.0355325539106416
AT1G01260.1	747.983462864385	0.325151536792011	0.275784383407871	1.17900634101942	0.23839565087683	0.999885281293585	1e-08
AT1G01270.1	0.280638912318383	-0.0421115800901912	0.0780413068171101	-0.539606290664504	0.589468577421431	0.999885281293585	1e-08
AT1G01280.1	1.11584175648202	0.0362954951683918	0.0945440406562944	0.383900401510663	0.701052268758366	0.999885281293585	1e-08
AT1G01290.1	418.779813832287	0.0760827639865464	0.287243375684339	0.264872127356407	0.791107970811929	0.999885281293585	1e-08
AT1G01300.1	1833.75387649914	0.137938252039209	0.265994619649567	0.518575346452253	0.604056904841074	0.999885281293585	0.00547332085515353
AT1G01310.1	3.03080933103335	-0.0393461892190739	0.159605405006561	-0.246521658946678	0.805278440275419	0.999885281293585	1e-08
AT1G01320.1	22230.8162047157	0.154423551730657	0.257642429129935	0.599371587405651	0.548925119511622	0.999885281293585	0.00358442152052187
AT1G01340.2	246.081791558325	-0.261413257051536	0.302532576963053	-0.864083001162091	0.387542296404075	0.999885281293585	1e-08
AT1G01350.1	496.314811413607	0.0245109406707036	0.283319260139219	0.0865134995010902	0.931058225256314	0.999885281293585	1e-08
AT1G01355.1	5.69392398904374	0.083948248925109	0.197873749146383	0.424251570949947	0.671382354077824	0.999885281293585	1e-08
AT1G01360.1	1084.31617436797	0.0645138178694409	0.272878727689821	0.23641937360091	0.81310726428176	0.999885281293585	0.0099445625800791
AT1G01370.1	42.6177409287093	-0.259644350984218	0.316452039348706	-0.82048563036154	0.411939317677641	0.999885281293585	0.421243923064873
AT1G01380.1	28.82154039764	0.116999287393682	0.307063047178512	0.381026920916551	0.703183272636784	0.999885281293585	0.197503258317591
AT1G01390.1	542.227577027172	0.033805593599305	0.282205698525202	0.11979061293224	0.904649018189767	0.999885281293585	1e-08
AT1G01400.1	4.73207146969783	0.010853358051327	0.187674957648249	0.0578306140964686	0.953883552455798	0.999885281293585	1e-08
AT1G01420.1	544.103678760898	0.209678565387032	0.28893740374652	0.725688549382065	0.468029723010848	0.999885281293585	0.0597262323717214
AT1G01430.1	1268.00553095682	-0.48448458358367	0.282061365361573	-1.717656662984	0.0858592584100945	0.999885281293585	0.0944117486450367
AT1G01440.1	835.347178824201	0.0693588019637715	0.274664739373532	0.252521681967508	0.800637857229702	0.999885281293585	0.00444638935636899
AT1G01448.1	240.798446957922	0.16497612570109	0.306093720439744	0.538972591349082	0.589905766887066	0.999885281293585	0.0591274073579029
AT1G01450.1	14.5450773609377	0.0429201793847339	0.273878922977836	0.156712239547573	0.875471640509111	0.999885281293585	1e-08
AT1G01453.2	1.5334349713603	-0.00306662502113452	0.1126909913706	-0.0272126900636583	0.97829009424792	0.999885281293585	1e-08
AT1G01460.1	1.23055696311565	-0.0419042276498039	0.103647336508396	-0.404296232411235	0.685994895673699	0.999885281293585	1e-08
AT1G01470.1	4648.71994443896	0.0690889714416247	0.259915712834312	0.265812984864316	0.790383242401109	0.999885281293585	0.000349693016162148
AT1G01480.1	11.6472350290812	0.257263478597438	0.25616338596897	1.00429449596907	0.315236685839469	0.999885281293585	0.0409491506238042
AT1G01490.1	2071.82790296005	-0.029096346183717	0.266546384512233	-0.109160535930592	0.913075160967836	0.999885281293585	0.0135867877929713
AT1G01500.1	1077.39548190604	0.365341898625296	0.277247608878671	1.31774589545758	0.187588725178249	0.999885281293585	0.0454178271761109
AT1G01510.1	1032.23602157302	0.0641567978189423	0.271660768154447	0.236165119663017	0.813304544501839	0.999885281293585	0.00437247276887234
AT1G01520.1	288.308811935084	-0.430156358538781	0.313713858002049	-1.37117423271742	0.170320648632411	0.999885281293585	0.109451054422446
