baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pvalue	padj	dispersion
AT1G01010.1	131.006234143011	113.140815217221	148.871653068801	1.31580855929825	0.395949602567125	0.750546205345184	1	0.666612543156691
AT1G01020.1	349.387029359083	374.579052762371	324.195005955796	0.865491552624172	-0.208408356227499	0.834316850542947	1	0.00480021466573559
AT1G01030.1	48.9137727678605	44.5584925837355	53.2690529519855	1.19548597502218	0.257597205010109	0.797850705047382	1	0.103360192715526
AT1G01040.2	2179.5635908253	2125.06584480115	2234.06133684945	1.05129040698431	0.0721612524048533	0.943310749140516	1	0.0644235006684179
AT1G01046.1	25.6707214380131	26.1450965894378	25.1963462865885	0.963712113298042	-0.0533258558456086	0.977943232276543	1	0.670073113193168
AT1G01050.1	2230.09796438521	2414.09101866841	2046.104910102	0.847567425701544	-0.238599952767062	0.815793169786535	1	0.174635366800539
AT1G01060.1	3026.2367513264	5524.63354637709	527.83995627572	0.0955429806963149	-3.38770630387288	0.305033492092429	1	3.18858062728734
AT1G01070.1	192.386239904097	260.803524661241	123.968955146954	0.475334661630737	-1.07298448739924	0.589814465752571	1	1.59290909679105
AT1G01080.2	2603.32979954129	2664.73300567135	2541.92659341122	0.953914177518438	-0.0680686203108222	0.943744746654536	1	0.321647176639126
AT1G01090.1	6112.6158827486	6148.12325881521	6077.10850668199	0.988449361025513	-0.0167610373483639	0.978905300248201	1	0.154975535843511
AT1G01100.1	4101.01462208949	4430.76592357549	3771.26332060348	0.851153815311504	-0.232508224392187	0.849589777234157	1	0.606267147759332
AT1G01110.2	64.0027864285207	62.7444636796148	65.2611091774267	1.0401094431321	0.056735340632412	0.981387588627086	1	0.1599747948891
AT1G01120.1	1887.49733419236	2575.76733675049	1199.22733163422	0.465580611464361	-1.10289711466228	0.279628209428319	1	0.413700495589345
AT1G01130.1	41.071742644226	55.925310566389	26.218174722063	0.468806958004093	-1.09293411257706	0.377351917441329	1	0.428829142096801
AT1G01140.3	4183.62138617189	4781.04701186709	3586.19576047669	0.750085860184047	-0.414872348649594	0.680143824878611	1	0.440796280562979
AT1G01150.1	17.0190092949968	17.7508822210172	16.2871363689763	0.917539543453914	-0.124157759366921	0.97846042363249	1	1.5441793251207
AT1G01160.2	812.311795319286	750.946943082332	873.67664755624	1.16343325664281	0.218388449185592	0.825078932501355	1	0.0436269806626574
AT1G01170.1	1462.64124086089	1532.75897444053	1392.52350728125	0.908507815320103	-0.138429169778484	0.898763711995248	1	0.00920412098516581
AT1G01180.1	371.111264153304	367.490105018536	374.732423288072	1.01970751911584	0.0281554058923931	1	1	0.239325445112824
AT1G01190.1	196.404734041958	166.945779490717	225.863688593198	1.35291643360027	0.436072730257705	0.8428681699138	1	1.97516578551944
AT1G01200.1	34.252817653348	41.5821208344668	26.9235144722291	0.647478145220353	-0.627096597554323	0.566410825349261	1	0.189224295504423
AT1G01210.1	273.689734147742	256.394273393491	290.985194901993	1.13491300351867	0.182581712315735	0.886967978185735	1	0.0506291022458631
AT1G01220.1	1232.88718717423	1299.52588961714	1166.24848473132	0.897441516209359	-0.156110169348765	0.876236716084481	1	0.0313864046981757
AT1G01225.1	75.3872353615106	80.8065900166351	69.9678807063861	0.865868497754728	-0.20778016005419	0.830200161697469	1	0.244717467855892
AT1G01230.1	740.125240953245	742.246676677064	738.003805229426	0.994283744769821	-0.00827047372719064	0.991217739386001	1	0.120669334718975
AT1G01240.1	1064.21433401013	918.591997449892	1209.83667057037	1.3170555305609	0.397316174733307	0.711680200842952	1	0.189120936673634
AT1G01250.1	210.045182606206	246.063847651611	174.026517560801	0.707241308390805	-0.499725553090555	0.625531353145657	1	0.147137870569706
AT1G01260.1	747.983462864385	639.3364751972	856.63045053157	1.33987420359107	0.422097557119903	0.697242820399377	1	0.197274795144665
AT1G01270.1	0.280638912318383	0.561277824636766	0	0	-Inf	0.9952986170522	1	0.450209148012896
AT1G01280.1	1.11584175648202	0.456273740957114	1.77540977200693	3.89110661569675	1.9601805104649	0.79026481724157	1	1.80599822257151
AT1G01290.1	418.779813832287	403.161852086656	434.397775577919	1.07747737869938	0.1076575807011	0.924236907140267	1	0.123130545737667
AT1G01300.1	1833.75387649914	1698.72438001869	1968.78337297959	1.15897752227347	0.212852586345195	0.841308204896843	1	0.262339115906128
AT1G01310.1	3.03080933103335	3.75519401133656	2.30642465073013	0.614195869445696	-0.703229284869648	0.834472788430086	1	0.594393458037715
AT1G01320.1	22230.8162047157	20744.0889134724	23717.543495959	1.14333984948143	0.19325429794028	0.849389914373841	1	0.00389493015520058
AT1G01340.2	246.081791558325	276.75426491956	215.409318197089	0.778341458476524	-0.361524890346044	0.777388718422586	1	0.745313989296849
AT1G01350.1	496.314811413607	491.007483844863	501.622138982351	1.02161811273093	0.0308560085748083	0.981878169325728	1	0.00365673943428707
AT1G01355.1	5.69392398904374	3.75519401133656	7.63265396675092	2.03255915505529	1.02329734071998	0.650550813790327	1	1.3704654718977
AT1G01360.1	1084.31617436797	1018.75375577623	1149.8785929597	1.12871102210913	0.174676167833876	0.903371067974229	1	0.809872909783515
AT1G01370.1	42.6177409287093	44.6959859386178	40.5394959188007	0.907005295161732	-0.140817121552228	0.932159402972972	1	1.16992746167736
AT1G01380.1	28.82154039764	28.1114530431844	29.5316277520956	1.05051943443583	0.0711028518775471	1	1	0.589839631441008
AT1G01390.1	542.227577027172	528.980864237068	555.474289817276	1.05008390165194	0.0705046037593257	0.951302803496675	1	0.30565052799467
AT1G01400.1	4.73207146969783	4.94649633805124	4.51764660134441	0.913302324029257	-0.130835590449967	1	1	0.669773252315762
AT1G01420.1	544.103678760898	466.503850997146	621.70350652465	1.33268676174005	0.414337725371498	0.684570966401947	1	0.350944199856193
AT1G01430.1	1268.00553095682	1514.71192064365	1021.29914126998	0.67425305587877	-0.568637939767	0.566808930744511	1	0.0676205436187513
AT1G01440.1	835.347178824201	805.10225676631	865.592100882093	1.07513311956017	0.10451530078147	0.917358832793093	1	0.0442392642656756
AT1G01448.1	240.798446957922	211.072031087831	270.524862828014	1.28167081841101	0.358025770827145	0.726553747571013	1	0.290272320608354
AT1G01450.1	14.5450773609377	13.5794400099979	15.5107147118775	1.14222049660794	0.191841178421055	0.922487671725728	1	-0.0676025068758966
AT1G01453.2	1.5334349713603	1.47382530655099	1.59304463616961	1.08089108599825	0.112221159884418	1	1	0.482073738399861
AT1G01460.1	1.23055696311565	1.93009904750811	0.531014878723202	0.275123123556161	-1.86185069446322	0.754989260288772	1	-0.192693008166133
AT1G01470.1	4648.71994443896	4491.0087133725	4806.43117550542	1.07023421290493	0.0979265544026236	0.921528417322338	1	0.263847949669821
AT1G01480.1	11.6472350290812	6.00030530988363	17.2941647482788	2.8822141299697	1.5271775224556	0.331113582960225	1	0.24390433520676
AT1G01490.1	2071.82790296005	2141.14235745977	2002.51344846033	0.935254697794169	-0.0965687874207199	0.909992781724195	1	0.267631323110843
AT1G01500.1	1077.39548190604	928.964289226638	1225.82667458544	1.31956275262846	0.400059960556697	0.681846917960056	1	0.121903174264914
AT1G01510.1	1032.23602157302	994.864067495799	1069.60797565024	1.07512976958006	0.104510805517463	0.925335377563683	1	0.0991204842694377
AT1G01520.1	288.308811935084	385.967559308444	190.650064561724	0.493953597818742	-1.01755257401075	0.652054599844411	1	1.96988216362303
AT1G01530.1	2.25652610887481	2.73764244574268	1.77540977200693	0.648517769282791	-0.624781990256258	0.899918165184784	1	1.64943867188029
AT1G01540.2	2529.15169529728	2818.97103399377	2239.33235660079	0.794379342532024	-0.332099988151617	0.717433597672305	1	0.0720044011539543
AT1G01550.1	6112.10245683064	5774.84077390679	6449.36413975449	1.1168038033006	0.159375759799147	0.868910392269944	1	0.412264625387728
AT1G01560.2	169.908667715133	207.385583753936	132.431751676331	0.63857742317066	-0.647066547390413	0.541878943966675	1	0.0480971636143001
AT1G01570.1	56.3971957057318	47.7236876342686	65.070703777195	1.36348859450815	0.447302632255122	0.71898775517255	1	0.0369360644941348
AT1G01580.1	181.69336283131	141.874756492411	221.511969170208	1.56132052414875	0.642766739193842	0.541227318984668	1	0.506613990619225
AT1G01590.1	109.558376155669	82.7842508754893	136.332501435848	1.64684103551166	0.719701302880138	0.524896028860232	1	0.457391932207455
AT1G01600.1	208.986271138921	222.977518084906	194.995024192937	0.874505312767388	-0.193460946097917	0.826268761741237	1	0.381554647868341
AT1G01610.1	1942.88313084736	1931.20552322259	1954.56073847213	1.0120935938556	0.0173427101387172	0.993339431866587	1	0.0121542171656756
AT1G01620.1	4540.91868487161	5739.6704310522	3342.16693869101	0.582292481569943	-0.780184103749499	0.412693457451861	1	0.174049766630599
AT1G01630.1	2085.99475076	2081.20042762045	2090.78907389954	1.00460726710981	0.00663161630131603	0.992663666863408	1	0.086167334989019
AT1G01640.1	70.8437749129612	49.5888081393714	92.0987416865511	1.85724854341536	0.8931668946266	0.568911200339468	1	0.960133645717918
AT1G01650.1	1625.9045123986	1493.93903250347	1757.86999229374	1.17666782515749	0.234707103184488	0.827961553615174	1	0.269531301994881
AT1G01660.1	41.7572383672724	37.5844293845683	45.9300473499765	1.22204987815606	0.28930317018108	0.841216211597237	1	0.195619657280011
AT1G01670.1	85.4748715567806	75.8713980836914	95.0783450298698	1.25315135125086	0.325560668859708	0.788897843850865	1	0.377837501368013
AT1G01680.1	51.0662978777625	62.3682410212064	39.7643547343186	0.637573772856572	-0.649335810835004	0.764482302885742	1	1.82844744994222
AT1G01690.1	102.201876513428	83.2654776175773	121.138275409279	1.45484393863257	0.540864403280423	0.603102723930151	1	0.147099178400283
AT1G01695.1	12.7278803190536	9.50923374762238	15.9465268904848	1.67695182532157	0.745841244437169	0.665343614126705	1	0.0964644690696187
AT1G01700.1	83.2977329100314	73.3475319403439	93.2479338797189	1.2713165857518	0.346323337833571	0.81328786282651	1	0.808059837482288
AT1G01710.1	1230.37778806771	1277.70153669603	1183.05403943939	0.925923625715132	-0.111034896376117	0.914243836405121	1	0.124377918477977
AT1G01720.1	1215.53974652333	1180.63388255187	1250.44561049479	1.0591307169603	0.0828806564430295	0.903949992779145	1	0.271250437759922
AT1G01725.1	287.659003177279	290.406219742035	284.911786612523	0.981080180946564	-0.027557046183024	0.983425581102053	1	0.848511538931681
AT1G01730.1	645.641843331802	581.198542603466	710.085144060139	1.22176002176352	0.28896093866622	0.780785793064833	1	0.430229196315468
AT1G01740.1	333.012842890894	295.723746659339	370.301939122449	1.25218871769882	0.324452007614654	0.731149121973189	1	0.0983871526336628
AT1G01750.1	45.2600523760321	48.6249307110752	41.895174040989	0.861598637331254	-0.214912126710206	0.901916092245515	1	0.67361542030871
AT1G01760.1	85.4181448307176	95.5811004883836	75.2551891730517	0.787343824129727	-0.344934312972834	0.770739214053698	1	-0.00856272680147714
AT1G01770.1	637.72704909471	586.449667034245	689.004431155175	1.17487394040066	0.232505969287951	0.797448622736517	1	0.0407638697717718
AT1G01780.1	241.747269114808	225.787675343126	257.706862886491	1.14136815703009	0.190764219015725	0.834046445702167	1	0.0318682042136375
AT1G01790.1	10237.5836599864	11508.3431740661	8966.82414590679	0.779158564380789	-0.360011137887852	0.708552360033419	1	0.0368332946672704
AT1G01800.1	2127.08514816105	2207.62409472234	2046.54620159977	0.927035633689788	-0.10930330020106	0.911122735897118	1	0.121168127277533
AT1G01810.1	14.5687166746696	11.8593491298491	17.27808421949	1.45691673550637	0.542918428051273	0.726017899052907	1	0.0408111674011875
AT1G01820.1	1986.69776528239	1592.13342698141	2381.26210358337	1.49564230185036	0.580765181207538	0.565235709123432	1	0.0966474731463057
AT1G01830.2	1760.38644015245	1716.66090825111	1804.11197205379	1.0509425381462	0.0716837899491757	0.959234206759908	1	0.753493834878136
AT1G01840.1	50.0371376418526	39.6807429231255	60.3935323605797	1.52198592847875	0.605955020465787	0.64568749164213	1	0.6757255632668
AT1G01860.1	547.158457253424	541.387338898206	552.929575608642	1.02131973890251	0.0304345934590214	0.978547392920466	1	0.149446800227684
AT1G01880.1	47.5468491882953	31.7903641070081	63.3033342695824	1.9912742759567	0.993691949993578	0.397108805690893	1	0.0354277426864968
AT1G01900.1	313.744888579118	365.499715810455	261.990061347782	0.71679963079273	-0.480358200591224	0.616826286484424	1	0.427936803117752
AT1G01910.1	1660.39079955056	1656.08610602147	1664.69549307965	1.00519863491812	0.00748061712090706	0.987974722012222	1	0.124047134644136
AT1G01920.1	314.254982678146	304.229077437391	324.280887918901	1.06591023662305	0.0920859496998433	0.919015614414548	1	0.17963048399713
AT1G01930.1	502.018850695884	498.262646079747	505.775055312021	1.01507720735516	0.0215894637968859	0.951677024696506	1	0.0718543205039463
