logFC	logCPM	pvalue	padj	dispersion
AT1G01010.1	0.384596324091308	1.85801200980716	0.765368802018877	1	0.713022834082951
AT1G01020.1	-0.221560631265846	3.25286401459854	0.81021070883784	1	0.379202108674953
AT1G01030.1	0.252101259633916	0.46129526874287	0.866467444862716	1	0.824829233677393
AT1G01040.2	0.0610581994731321	5.88898214869727	0.938412207009497	1	0.285918980234858
AT1G01046.1	-0.0652622282443601	-0.404159982522989	0.986237544079326	1	1.05266590038178
AT1G01050.1	-0.25070099919329	5.92425674054443	0.757555282081461	1	0.303537932465609
AT1G01060.1	-3.40432027457178	6.37804710268138	0.0196727617520808	1	0.777402523811712
AT1G01070.1	-1.08626250270208	2.41220955558483	0.436858448537916	1	0.817538448440792
AT1G01080.2	-0.0802610741138055	6.13781745412007	0.924280556894238	1	0.326233188724785
AT1G01090.1	-0.0293479164490364	7.37022735485957	0.971527479748865	1	0.309795174022345
AT1G01100.1	-0.243230749101248	6.7912787911221	0.791046676675913	1	0.384673668628032
AT1G01110.2	0.0430265189265122	0.844179395283168	0.986812668868727	1	0.777258473293407
AT1G01120.1	-1.11934736553982	5.68662569455824	0.182596192799739	1	0.31728955840616
AT1G01130.1	-1.10093118394108	0.217168527789184	0.459305564872362	1	0.901669663255872
AT1G01140.3	-0.428197614350745	6.8338848576567	0.626628011972082	1	0.354352751258759
AT1G01150.1	-0.13225783990883	-0.975579404926894	0.948111841254698	1	1.47643718130421
AT1G01160.2	0.208597579271105	4.46623533542984	0.792209077178341	1	0.286667608301559
AT1G01170.1	-0.149566051833499	5.31132747327116	0.844208304519308	1	0.266678901512426
AT1G01180.1	0.0139872810237152	3.34373338773845	0.990296568761109	1	0.406976263228073
AT1G01190.1	0.426587239569682	2.41323678437146	0.817257863848638	1	1.34829265900392
AT1G01200.1	-0.648014749824409	-0.0259382997648891	0.680091913972024	1	0.918903966304357
AT1G01210.1	0.168255075454	2.90058341819002	0.865052151567361	1	0.438569590010425
AT1G01220.1	-0.168483134345833	5.06454210854262	0.8269727563279	1	0.27299551613204
AT1G01225.1	-0.223796144381116	1.06483513256803	0.874925148560308	1	0.762943554809452
AT1G01230.1	-0.0200921115868322	4.33447528545888	0.981197565140583	1	0.303401718266873
AT1G01240.1	0.385364685391614	4.85715355680277	0.63481045222876	1	0.301790830353518
AT1G01250.1	-0.514099665549725	2.52819509725467	0.634074446402514	1	0.512211497215796
AT1G01260.1	0.409806909363226	4.34966278835187	0.621987448266553	1	0.315395956132944
AT1G01270.1	-2.41542042995378	-4.04120327264067	1	1	1.95497328908435
AT1G01280.1	1.67595279001361	-3.55586941927155	0.667022667054289	1	2.0049349739631
AT1G01290.1	0.0957572651876478	3.51569372704115	0.916858148064032	1	0.367410733568975
AT1G01300.1	0.201191936706967	5.63270755516132	0.807597407039049	1	0.313299453357892
AT1G01310.1	-0.690227927293824	-2.86374154597465	0.822904865216557	1	1.3083959287454
AT1G01320.1	0.182442756397942	9.236094006213	0.819548391944244	1	0.295806353293057
AT1G01340.2	-0.373877614312805	2.75939860993086	0.747781198496186	1	0.590909801416035
AT1G01350.1	0.0188713723442341	3.7571810470226	0.983430505124296	1	0.323307189954288
AT1G01355.1	0.983117593568567	-2.24501974687084	0.667470436092337	1	1.43992739266348
