logFC	logCPM	pvalue	padj	dispersion
AT1G01010.1	0.374099928082451	1.84327100323363	0.775505456861697	1	0.709719907756854
AT1G01020.1	-0.220433124428947	3.255661113528	0.809790786943061	1	0.370274291859865
AT1G01030.1	0.240057090055287	0.467914461798195	0.877270521587632	1	0.848628714778672
AT1G01040.2	0.0555054142333677	5.88586831155506	0.943984171074835	1	0.285395241300103
AT1G01046.1	-0.07323372617977	-0.417732297660055	0.971806163015262	1	1.02481613101048
AT1G01050.1	-0.255326689123796	5.91796501740511	0.753506613658028	1	0.304226694318643
AT1G01060.1	-3.40374925625279	6.35592842540041	0.0196431166441947	1	0.776860609477177
AT1G01070.1	-1.0916608569888	2.39176457438178	0.4275258341706	1	0.796961563473576
AT1G01080.2	-0.0767748915502959	6.15216809118167	0.929083341592597	1	0.33976270538619
AT1G01090.1	-0.0264177395615917	7.38083711163412	0.974945643656181	1	0.323370584511101
AT1G01100.1	-0.241305739896883	6.80996644666477	0.798354729574272	1	0.406141635738007
AT1G01110.2	0.0409544141671346	0.838127461763746	0.980507233265164	1	0.80436540658261
AT1G01120.1	-1.11410960904185	5.67954802329543	0.175081337343238	1	0.304168175403343
AT1G01140.3	-0.43188464574127	6.82302073714925	0.628122062929742	1	0.363209008548722
AT1G01160.2	0.20080128147422	4.46444401517548	0.793574092822233	1	0.269625749292702
AT1G01170.1	-0.152178662572183	5.31572118326336	0.841261524117205	1	0.265837105338239
AT1G01180.1	0.0130539887137546	3.33610796369664	0.991717507794754	1	0.394183373856709
AT1G01190.1	0.430549729705518	2.44461873921772	0.81326970290611	1	1.33095014610472
AT1G01200.1	-0.629255840491519	-0.0196842002117208	0.683279728291314	1	0.937084185462992
AT1G01210.1	0.172646716632433	2.90665882406011	0.859262020143679	1	0.414392967967386
AT1G01220.1	-0.167753206505754	5.07064608465901	0.824683059234346	1	0.263747070336853
AT1G01225.1	-0.213485998676418	1.07677493651669	0.879345570813703	1	0.806136037761776
AT1G01230.1	-0.0248564522446749	4.32941673538567	0.975919388229109	1	0.288998255110609
AT1G01240.1	0.380061707452928	4.8500569863952	0.624297033149096	1	0.276853177978926
AT1G01250.1	-0.512541619269559	2.52406448331345	0.627879356493491	1	0.491796651931949
AT1G01260.1	0.405034601821792	4.34234930550713	0.615636571438172	1	0.297717706039993
AT1G01290.1	0.0910082502554878	3.51047664578807	0.918561904198415	1	0.346754562685052
AT1G01300.1	0.202978137867863	5.64575045018806	0.804751657413774	1	0.309627468923806
AT1G01320.1	0.177908825010117	9.2372484056472	0.825802796302537	1	0.30198290608026
AT1G01340.2	-0.381005265110737	2.7441774301232	0.736316455031681	1	0.554369586280012
AT1G01350.1	0.0166614186701555	3.75796032401666	0.985306479074812	1	0.313876267951301
AT1G01360.1	0.153793629215257	4.87203939984942	0.869333047875102	1	0.395346702438648
AT1G01370.1	-0.14392369157786	0.285380282294402	0.936556683227684	1	1.14954205665715
AT1G01380.1	0.0557546659398565	-0.26133675457383	0.987379424041204	1	1.01345808825601
AT1G01390.1	0.0521754452782721	3.87935449917242	0.953427239214509	1	0.347131850217216
AT1G01420.1	0.393232268066938	3.88297299741774	0.653044884184475	1	0.346855139086566
AT1G01430.1	-0.57626417252931	5.1127593856154	0.457897053388196	1	0.276498035652832
