baseMean	baseMeanA	baseMeanB	log2FoldChange	X.Intercept.	batch2	groupLeaf	dispersion	pvalue	padj
AT1G12940.1	602.576003499549	96.2584009801134	1108.89360601899	3.52606468317673	-12.0807667934226	-5.91177540692204	2.25772866230419	0.0601844443023038	1.47017492205281e-09	3.99667052560057e-05
AT1G28050.1	1017.56209118919	599.821552585319	1435.30262979306	1.25874969075639	-12.0062389980935	1.37246696839255	1.0003542078505	0.0493869719830855	1.53598896982008e-05	0.0298256143889707
AT1G35140.1	151.809019813759	261.994187353026	41.6238522744923	-2.65405240690455	-12.9294889446201	1.65680540986031	-1.98508328477296	0.0913165829043032	1.41333926420612e-08	0.000128072092991478
AT1G70880.1	6.00251708716136	12.0050341743227	0	-Inf	-14.420648164691	-1.71784820872145	-4.61135287741057	0.162420193641999	1.1568194677827e-05	0.0241908747935944
AT2G23540.1	10.5437442978994	21.0874885957987	0	-Inf	-13.7125922552934	-5.06484086517877	-5.17354501102507	0.165389207957435	2.49662608032712e-06	0.00754119777707698
AT2G26020.1	527.598174078859	991.416053764088	63.7802943936309	-3.95830795838279	-10.1711284141803	-4.22603283715274	-1.97349201128323	0.113159610574326	2.58690589212298e-05	0.043953147923352
AT3G15310.1	510.460336344507	851.494582471256	169.426090217758	-2.32934129607324	-9.96308289431856	-5.13633125675456	-1.68885751802409	0.0621319304551171	5.18330145429892e-07	0.00234846750058527
AT3G19680.1	1268.3827953854	1871.98925082349	664.776339947309	-1.49363120964527	-9.93515261598781	0.0605797099883576	-1.02808552189998	0.0494449420662112	8.07813728212659e-06	0.0183003468345509
AT3G45970.1	234.83543947018	376.063502553096	93.607376387264	-2.0062821720496	-12.0186022536432	1.04460654053176	-1.65412708877743	0.103542264056751	3.89331136699802e-06	0.00962178813744009
AT4G19430.1	1175.2668974022	392.889073894348	1957.64472091005	2.31692501155101	-10.6789335157664	-7.47300269248491	1.43213702350245	0.052966269143973	2.27313241620642e-05	0.0411967364897143
AT4G37390.1	11.1785139293991	0.468610857684416	21.8884170011139	5.54563342873532	-17.6270343877402	-0.757167370479219	3.604260204637	0.169868911586126	1.46729515259502e-06	0.00498605234041194
AT4G37610.1	559.156658689897	869.048703359807	249.264614019987	-1.80175894083593	-11.7730031537581	1.79863334310054	-1.53639636247206	0.0706564470477435	1.09886374957391e-07	0.000670708650962355
AT5G06570.1	235.983371391034	38.4404173594582	433.526325422611	3.49542369712701	-12.9515616019639	-3.38072491427346	2.09765752984996	0.08775697789155	1.23360060872237e-07	0.000670708650962355
AT5G15500.2	893.16010565626	381.077214874834	1405.24299643769	1.88266436956991	-10.8447665840766	-5.74012988522654	1.39132608591317	0.0501920398648202	3.8379416530159e-06	0.00962178813744009
AT5G44430.1	1900.96943369233	3372.68893033214	429.249937052521	-2.97400943414328	-8.74930104264266	-7.18513067850765	-1.78338814982539	0.0599561090424802	9.20527908711645e-07	0.00357493588547515
AT5G57560.1	989.721779874633	1532.79128559953	446.65227414974	-1.77893725141794	-11.2656652891584	1.8491182175158	-1.49126465402004	0.057337428493951	7.0182732267709e-09	9.53958788348835e-05
