logFC	logCPM	pvalue	padj	dispersion
AT1G01010.1	0.384406370639858	1.85993427006697	0.765328878105217	1	0.712790796122619
AT1G01020.1	-0.221907633265172	3.25479002883903	0.80968006301172	1	0.377131138259969
AT1G01030.1	0.25170833113781	0.463223028833018	0.866458750022183	1	0.824728550123893
AT1G01040.2	0.0607650944717667	5.89090581151088	0.938385766667854	1	0.283020112572999
AT1G01046.1	-0.0654444087784379	-0.402230376160122	0.986237446002853	1	1.05265216259369
AT1G01050.1	-0.250961794424969	5.92619157165178	0.756075395068674	1	0.30048102302477
AT1G01060.1	-3.40443621519119	6.38000213950671	0.0194842562049475	1	0.775235087178824
AT1G01070.1	-1.08638242041602	2.41415157890667	0.436591996763233	1	0.816669071595351
AT1G01080.2	-0.0807156685025106	6.13973452965987	0.923563681027366	1	0.323865988497054
AT1G01090.1	-0.0297669747844445	7.37214044943915	0.971049175756455	1	0.308347618068773
AT1G01100.1	-0.24372714557981	6.793215401329	0.79029108074808	1	0.383457774455871
AT1G01110.2	0.0427642879178057	0.846095219712175	0.986809794067413	1	0.776943576305085
AT1G01120.1	-1.11960910058089	5.68857457949795	0.180474108628875	1	0.314468703815546
AT1G01130.1	-1.10139399841953	0.219164236384763	0.459287266263338	1	0.901601649967355
AT1G01140.3	-0.428414901111634	6.8358208135781	0.625812758356996	1	0.35309396614687
AT1G01150.1	-0.132837439272584	-0.973652686083516	0.948113722441518	1	1.47653157098561
AT1G01160.2	0.208290197105788	4.46815674042533	0.790923812140011	1	0.282367004141889
AT1G01170.1	-0.149927380778642	5.31325892318226	0.843041477647206	1	0.264032397157831
AT1G01180.1	0.0137375145129022	3.34564736699944	0.990271358990998	1	0.404958217030183
AT1G01190.1	0.425970416891782	2.41510696459575	0.817198410016641	1	1.34752063516922
AT1G01200.1	-0.648410356662551	-0.0240225491738583	0.680077048091851	1	0.918820283087808
AT1G01210.1	0.167879448023617	2.90247879788009	0.864725661485424	1	0.436528565691551
AT1G01220.1	-0.168860793250763	5.06646787593185	0.825483371686875	1	0.269592697701131
AT1G01225.1	-0.224232365292282	1.06674610360074	0.874890962064702	1	0.76255310054172
AT1G01230.1	-0.0203663276729885	4.33640052207909	0.980815851374919	1	0.299970294410084
AT1G01240.1	0.385105369434275	4.85906147930437	0.632468831016339	1	0.297405685774872
AT1G01250.1	-0.514382026600351	2.53012940797649	0.633613491656882	1	0.510892739882367
AT1G01260.1	0.409549746751553	4.3515685150364	0.62020671915775	1	0.311924362665298
AT1G01270.1	-2.41554306425817	-4.03926545873759	0.999999999999999	1	1.94958870727383
AT1G01280.1	1.67581556712701	-3.55395353512149	0.66693499209735	1	2.00371853397832
AT1G01290.1	0.0954836133634073	3.51761344026885	0.916530219233656	1	0.364627532292329
