baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	dispersion
AT1G01010.1	131.006234143011	0.141735096783205	0.318113939264353	0.445548211785284	0.6559236267538	0.999950974884653	0.0305770869445801
AT1G01020.1	349.387029359083	-0.147070828658216	0.293587408025552	-0.500943925515417	0.616410587480203	0.999950974884653	0.0124850874322984
AT1G01030.1	48.9137727678605	0.123565075589137	0.306166421939076	0.403587940201113	0.686515755396806	0.999950974884653	0.118537996439493
AT1G01040.2	2179.5635908253	0.0461860730362531	0.254260560966982	0.181648592532802	0.855858511853437	0.999950974884653	0.00298566339355687
AT1G01046.1	25.6707214380131	-0.0237898765704355	0.27363566488329	-0.0869399702724505	0.930719228103098	0.999950974884653	1e-08
AT1G01050.1	2230.09796438521	-0.191863923687416	0.253366377525973	-0.757258818478183	0.448894817808041	0.999950974884653	1e-08
AT1G01060.1	3026.2367513264	-0.308044030399611	0.231742538199277	-1.32925112839975	0.183765131982163	0.999950974884653	1.06344108992559
AT1G01070.1	192.386239904097	-0.479630693948115	0.314381381706528	-1.52563326538161	0.127101222776091	0.999950974884653	0.0596165699099241
AT1G01080.2	2603.32979954129	-0.116086930525894	0.255562316020407	-0.454241189912459	0.64965523951399	0.999950974884653	0.0181684483334108
AT1G01090.1	6112.6158827486	-0.0557961117577464	0.250052468111377	-0.223137616593706	0.823428402504703	0.999950974884653	0.0178838944196465
AT1G01100.1	4101.01462208949	-0.215366469648735	0.248689058696363	-0.866007016061317	0.386486314265234	0.999950974884653	0.00142928010694588
AT1G01110.2	64.0027864285207	0.037525195039978	0.315464942873419	0.118952029021605	0.905313361142292	0.999950974884653	1e-08
AT1G01120.1	1887.49733419236	-0.70679582990914	0.275133668968995	-2.56891798287614	0.0102016599312489	0.999950974884653	0.125926653329693
AT1G01130.1	41.071742644226	-0.357365293411308	0.30056218644137	-1.18898953205818	0.234443786183402	0.999950974884653	1e-08
AT1G01140.3	4183.62138617189	-0.292032554097595	0.24981644260568	-1.16898852233898	0.242408255729746	0.999950974884653	0.0071465078801379
AT1G01150.1	17.0190092949968	-0.0181581802378264	0.239048466942246	-0.0759602455104362	0.939450726266958	0.999950974884653	1e-08
AT1G01160.2	812.311795319286	0.147472963038273	0.272852676591949	0.54048567483477	0.588862137510242	0.999950974884653	0.0206377229111314
AT1G01170.1	1462.64124086089	-0.108685783928779	0.258721732534833	-0.420087570007849	0.674421482762778	0.999950974884653	1e-08
AT1G01180.1	371.111264153304	0.0687834340775358	0.292865693609108	0.234863405234967	0.814314753545334	0.999950974884653	0.02024875622498
AT1G01190.1	196.404734041958	0.216708200928679	0.319175246030995	0.678963057516166	0.497161269599179	0.999950974884653	0.00212095088792019
AT1G01200.1	34.252817653348	-0.200765004746399	0.284981012549298	-0.704485547828102	0.481130447127974	0.999950974884653	0.420575023116298
AT1G01210.1	273.689734147742	0.098103654187721	0.302394440968238	0.324422809736854	0.745617953129245	0.999950974884653	0.0414331441427045
AT1G01220.1	1232.88718717423	-0.134277030245958	0.262748049851223	-0.511048627466467	0.60931700697005	0.999950974884653	0.00659579361531518
AT1G01225.1	75.3872353615106	-0.163995307949107	0.316934976239892	-0.51744149508124	0.604847999519926	0.999950974884653	0.144510415046736
AT1G01230.1	740.125240953245	-0.0104798994313137	0.271942186785317	-0.0385372330611835	0.969259345830856	0.999950974884653	1e-08
AT1G01240.1	1064.21433401013	0.303059994720272	0.264355627495541	1.14641022622219	0.251625453389248	0.999950974884653	1e-08
AT1G01250.1	210.045182606206	-0.275590630665813	0.30899563591535	-0.891891660053447	0.37245100528233	0.999950974884653	0.0355325539106412
AT1G01260.1	747.983462864385	0.321993995849649	0.271776708474355	1.18477406565557	0.236106789153358	0.999950974884653	1e-08
AT1G01270.1	0.280638912318383	-0.0241895622688697	0.0804551378250932	-0.300659012249249	0.763674526861686	0.999950974884653	1e-08
AT1G01280.1	1.11584175648202	0.0297178515811356	0.083541498818736	0.355725621413806	0.722046055377708	0.999950974884653	1e-08
AT1G01290.1	418.779813832287	0.0738638528091112	0.287128003337053	0.257250605829638	0.796985320333352	0.999950974884653	1e-08
AT1G01300.1	1833.75387649914	0.138863372852845	0.256809973202593	0.540724221575686	0.588697680851883	0.999950974884653	0.00547332085515405
AT1G01310.1	3.03080933103335	-0.0283706048970404	0.131871246961473	-0.215138671626644	0.829659204154069	0.999950974884653	1e-08
AT1G01320.1	22230.8162047157	0.157178699325643	0.24352864221701	0.645421819358643	0.518653867355915	0.999950974884653	0.00358442152052187
AT1G01340.2	246.081791558325	-0.24676369522566	0.304031302653065	-0.811639107790313	0.416998744066412	0.999950974884653	1e-08
AT1G01350.1	496.314811413607	0.023957621631459	0.282147873669459	0.0849115795907989	0.932331685854685	0.999950974884653	1e-08
AT1G01355.1	5.69392398904374	0.0628015012545825	0.166509944452944	0.377163667076536	0.706051979293703	0.999950974884653	1e-08
AT1G01360.1	1084.31617436797	0.0645784855137921	0.266539644231907	0.242284729162483	0.808559545692006	0.999950974884653	0.00994456258007927
AT1G01370.1	42.6177409287093	-0.203959903184554	0.292650450901537	-0.696940334642359	0.485840134234112	0.999950974884653	0.421243923064872
AT1G01380.1	28.82154039764	0.0881199695270299	0.277714977737273	0.31730362634742	0.751013226005987	0.999950974884653	0.197503258317591
AT1G01390.1	542.227577027172	0.033187834374542	0.280380777573075	0.118367010255874	0.905776863984659	0.999950974884653	1e-08
AT1G01400.1	4.73207146969783	0.00463133873707428	0.156298728436723	0.0296313270325117	0.976361080918325	0.999950974884653	1e-08
AT1G01420.1	544.103678760898	0.205516559556202	0.28663124361532	0.717006830672028	0.473369881932678	0.999950974884653	0.059726232371721
AT1G01430.1	1268.00553095682	-0.483664520121996	0.275303917410701	-1.75683849569224	0.078945341445376	0.999950974884653	0.0944117486450376
AT1G01440.1	835.347178824201	0.0688965569767803	0.269913255310769	0.25525444053296	0.798526585788071	0.999950974884653	0.0044463893563674
AT1G01448.1	240.798446957922	0.155395483110968	0.306842759615306	0.506433599103952	0.612552292682131	0.999950974884653	0.0591274073579015
AT1G01450.1	14.5450773609377	0.0314289933469551	0.237034470999721	0.1325925010586	0.894515663342524	0.999950974884653	1e-08
AT1G01453.2	1.5334349713603	-0.000872122892754798	0.0910130124090429	-0.00958239783158903	0.992354469719974	0.999950974884653	1e-08
AT1G01460.1	1.23055696311565	-0.0291633321294045	0.0845957943844039	-0.344737375440747	0.730291817085156	0.999950974884653	1e-08
AT1G01470.1	4648.71994443896	0.070057565780136	0.247562813012468	0.28298905206174	0.777185229321713	0.999950974884653	0.000349693016162154
AT1G01480.1	11.6472350290812	0.186287441528878	0.219377561305209	0.849163608258485	0.395790260051318	0.999950974884653	0.0409491506238042
AT1G01490.1	2071.82790296005	-0.0293732320097731	0.257008640325891	-0.114288889169358	0.90900878994525	0.999950974884653	0.013586787792972
AT1G01500.1	1077.39548190604	0.364137468327312	0.271109183887188	1.3431395539844	0.179226789895287	0.999950974884653	0.04541782717611
