logFC	logCPM	pvalue	padj	dispersion
AT1G01010.1	0.37421184133431	1.84515078329909	0.775415943986204	1	0.709179982756176
AT1G01020.1	-0.220133517901305	3.25758485321898	0.809027148071324	1	0.367371785194929
AT1G01030.1	0.240374232653547	0.469840279336083	0.877285936660275	1	0.848827623818506
AT1G01040.2	0.05573622714391	5.88777760065509	0.943478017592894	1	0.282737523008979
AT1G01046.1	-0.0731236077626673	-0.415853019220024	0.971808757232125	1	1.02498960156664
AT1G01050.1	-0.255127061138769	5.91985848271487	0.752705500717209	1	0.301808044236105
AT1G01060.1	-3.40368764932622	6.35778625338575	0.0195254731398157	1	0.775460527260871
AT1G01070.1	-1.09160947549737	2.39362516731841	0.427375241150284	1	0.796484976122908
AT1G01080.2	-0.076359289752077	6.1541266065461	0.929325560005774	1	0.338447678817928
AT1G01090.1	-0.0260390255422467	7.3827905057157	0.975304423912939	1	0.32332178253072
AT1G01100.1	-0.240851850870437	6.8119166416714	0.798312718389616	1	0.404523594468444
AT1G01110.2	0.0411612699517664	0.840038093019915	0.98050842240436	1	0.804456324380572
AT1G01120.1	-1.11388657702361	5.68143374966147	0.173433906615354	1	0.301815540642242
AT1G01140.3	-0.4317278728903	6.82490408575633	0.627407426336591	1	0.361516241187786
AT1G01160.2	0.201043685499191	4.46635718449126	0.791404676718321	1	0.264696131757042
AT1G01170.1	-0.151871154625011	5.3176422849652	0.840414196074602	1	0.262033268724622
AT1G01180.1	0.0132486227542518	3.33801724411043	0.991686097625873	1	0.391330039148596
AT1G01190.1	0.431127410524981	2.44665914347154	0.813246857119976	1	1.3306627902284
AT1G01200.1	-0.6288628134255	-0.0177380551751715	0.68338019602579	1	0.937664861191784
AT1G01210.1	0.172983234986414	2.90861790868564	0.859050711355042	1	0.413189673467915
AT1G01220.1	-0.167422444948949	5.0725773029988	0.823717042731433	1	0.259897457050691
AT1G01225.1	-0.213073329561886	1.07873546351885	0.885186571553532	1	0.806277871822487
AT1G01230.1	-0.0246437299614334	4.33132065999185	0.975911508014405	1	0.283846147548154
AT1G01240.1	0.380256743673715	4.85196988121801	0.621586784571589	1	0.272969180086464
AT1G01250.1	-0.512305956470291	2.52596628640744	0.627718188335944	1	0.491358375179004
AT1G01260.1	0.405227718507743	4.3442637328554	0.612448000164194	1	0.292843662905098
AT1G01290.1	0.0912201749906126	3.51238471921697	0.918212597248729	1	0.343891756868449
AT1G01300.1	0.203376978872024	5.64772158404842	0.803502769820623	1	0.306925552332987
