logFC	logCPM	pvalue	padj	dispersion
AT1G01030.1	-2.1912651562457	1.96098612161763	0.00174256020710177	0.00661491064321177	0.199246136987628
AT1G01100.1	-2.40210246223147	7.6442476321978	1.69241325821231e-05	9.96873892315367e-05	0.132861115939746
AT1G01130.1	-2.43355897871012	1.3555574492836	0.00174824671790684	0.00663400127253855	0.234463971024834
AT1G01150.1	-5.10224009741556	0.278703420479832	8.85301774108338e-08	7.65113053597698e-07	0.214091172049523
AT1G01180.1	3.28231507638525	3.25029598372562	1.14448734318919e-07	9.71634606039456e-07	0.146617126165888
AT1G01225.1	-1.82279863749928	2.01983818491295	0.00648195772051597	0.0210468072083688	0.187546241608724
AT1G01240.1	1.37599715598376	5.05267261691709	0.00434261843892183	0.0148055482509618	0.105533692425499
AT1G01280.1	-9.23999996894783	4.6171521084237	2.15638738823227e-33	6.39939669037166e-31	0.112719543883132
AT1G01300.1	-2.02589238166659	6.68755652535083	0.000280953913875962	0.00129414516823029	0.136020931474407
AT1G01310.1	-6.83465707659588	3.33538243955731	1.16247812129622e-19	5.70013094998152e-18	0.139625710038344
AT1G01340.2	2.72251929930945	2.98261940559356	6.84998885629192e-06	4.32518069837206e-05	0.146796115940715
AT1G01360.1	1.5237200337718	5.36408204647596	0.00166844417734611	0.00635987976933217	0.105872713843004
AT1G01370.1	-5.09573090923135	2.622573910774	7.35279014633574e-10	8.97093743367927e-09	0.210266133528186
AT1G01390.1	4.04997121047445	3.79019068575498	3.09217254004835e-12	5.52701876511741e-11	0.120193870253916
AT1G01400.1	-4.43491370945939	-0.331782735473599	9.65121924630279e-06	5.93423535619715e-05	0.241007107357392
AT1G01420.1	4.85806055397437	3.75643152498874	4.30326387925458e-14	9.94729267850601e-13	0.135533415827013
AT1G01440.1	1.49122788255127	4.48533196361186	0.00357479418413491	0.0124378183854901	0.117519139105233
AT1G01460.1	-7.04936245724395	1.76601558819813	1.11095849211699e-12	2.11103035507729e-11	0.204896101041666
AT1G01470.1	3.36912275357906	5.80897458632963	1.40293820749356e-10	1.93780239748255e-09	0.107924197301478
AT1G01490.1	1.38074393294645	6.07236895073626	0.00613317850731416	0.0200238702924446	0.115473967142781
AT1G01550.1	1.37735333260723	7.71356161533281	0.00808728986666956	0.0255201734963865	0.123271036206424
AT1G01560.2	1.57604146631844	2.16347959799421	0.013906352448498	0.0408545919945683	0.175627160970621
AT1G01570.1	-1.68318523671573	2.27026144892812	0.00601774034931051	0.0197075625201373	0.159995882250109
