logFC	logCPM	pvalue	padj	dispersion
AT1G01010.1	0.12121553309967	2.68239988630669	0.872846454917463	0.984105804110839	0.250234846165958
AT1G01020.1.Hnull	0.0289619674265001	3.27978069004661	0.968636985112895	0.99714839092209	0.21257203151931
AT1G01030.1	-2.35517851820293	2.00222786405153	0.00965462733180481	0.0534830949342688	0.335130226131529
AT1G01040.2.Hnull	0.354068893042537	5.95515840382213	0.569911213218876	0.911913664563862	0.181230529474031
AT1G01046.1.Hnull	0.271708159683904	-0.311053893927643	0.826252611245541	0.977789707977784	0.61318042872302
AT1G01050.1	0.150156762586697	6.48322570690933	0.803717173887511	0.972005504857968	0.170820832831941
AT1G01060.1.Hnull	-3.0657907966285	6.34842127132341	0.0253643488657866	0.118993091979531	0.711128079935324
AT1G01070.1	0.457839775735338	3.32417835806173	0.537742930901869	0.899886703968438	0.252398097582517
AT1G01080.2.Hnull	0.118728378851024	6.12977241313966	0.856633290072687	0.981330771068504	0.200800897210484
AT1G01090.1	-0.368825496042122	7.37676853507151	0.568714162606664	0.911706834715892	0.195532444371914
AT1G01100.1	-2.54719487918971	7.68631449133026	0.000125900435374453	0.00125186468348532	0.184898873008956
AT1G01110.2	-2.493267079032	3.16908085993731	0.00187628176789143	0.0133019571688996	0.263708771883241
AT1G01120.1	0.328056921508746	6.24512721472182	0.623073050201436	0.931362795419817	0.207476692369523
AT1G01130.1	-2.56916247263363	1.39599599001051	0.01228047746991	0.0654803194553604	0.409890922241294
AT1G01140.3	1.50604434441549	7.07349956526666	0.0158673149300539	0.081104198489432	0.175350240676388
AT1G01160.2	-0.350019273687425	5.07720840074537	0.545252683968591	0.902258922561658	0.156058364915141
AT1G01170.1.Hnull	0.10766653288419	5.34028668720986	0.851897703397502	0.981330771068504	0.154621449432224
AT1G01180.1.Hnull	0.308490278863351	3.41742374797975	0.684476087047488	0.945551993984806	0.261692265711551
AT1G01190.1.Hnull	0.552864573815252	2.35686921146409	0.739595462460397	0.959451426330908	1.13211300630523
AT1G01200.1.Hnull	-0.478354266107579	-0.043796093387277	0.666782954072802	0.940951685260253	0.475432871976228
AT1G01210.1	-0.564261574094137	3.28926016909245	0.408919519846038	0.829134042311213	0.213475139197062
AT1G01220.1.Hnull	0.0713571249811636	5.08354618973228	0.90187472005535	0.989408633217138	0.154438264466814
AT1G01225.1.Hnull	-0.0408369098338614	1.05208029662164	0.975652267259866	0.998381369800243	0.41117497236847
AT1G01230.1.Hnull	0.277412173248804	4.40222688707551	0.671560656934531	0.942805727890389	0.197941236709774
AT1G01240.1	1.21946236490115	5.00942159212054	0.0382642372999234	0.16602587098893	0.157566407898351
AT1G01250.1	-1.42924786367682	3.9798780805704	0.0342554441116829	0.152381326664298	0.203060219351698
AT1G01260.1	0.131687939129494	4.92981993711333	0.820934182979743	0.97666913365916	0.156948385740101
AT1G01280.1	-9.39429319775195	4.68336315104529	5.5121943437841e-24	2.20915250047413e-21	0.172683596225089
AT1G01290.1	0.153578630222638	4.01816360983634	0.806653816208783	0.973292035336003	0.180373470232681
AT1G01300.1	-2.18154336672394	6.72888003513236	0.000932622669684155	0.00724766283627124	0.186858537143099
AT1G01310.1	-6.97882816672711	3.39989499679066	5.12928202011797e-14	3.63642022783670e-12	0.216866348082067
AT1G01320.1.Hnull	0.456854133964857	9.29246588947862	0.465631653956081	0.865487591790332	0.183290555636973
AT1G01340.2.Hnull	-0.0332341492474525	2.84243875485328	0.974273321687431	0.997902231851967	0.40822540446982
AT1G01350.1	-0.464483762453474	4.34012675600904	0.43923556127807	0.850242282146747	0.166864653498182
AT1G01360.1	1.36873899906505	5.31910665897872	0.0200599346762361	0.098214160352013	0.156721367992749
AT1G01370.1	-5.22792926219043	2.68256739834403	2.42301682424577e-07	4.6787811597383e-06	0.314343278738983
AT1G01380.1	1.44510626280395	0.0501185940247106	0.174640397468385	0.523634750993061	0.459994165055652
AT1G01390.1	3.89653863063734	3.71442054183781	6.99189119279285e-08	1.56385830574107e-06	0.190242649621676
AT1G01400.1	-4.58614478795127	-0.282449737996884	0.000563844336498217	0.00468986661590512	0.49666275910322
AT1G01420.1.Hnull	0.737037010961146	4.00442131521921	0.323887903995967	0.750717943750303	0.254994705773551
AT1G01430.1	0.683095766777612	4.85928607539199	0.274652594153414	0.688841333842242	0.180694576379447
AT1G01440.1	1.33468427246989	4.44189863294623	0.0331469162207137	0.148582319274681	0.176800310901102
AT1G01448.1.Hnull	0.677147339481998	2.82757133405132	0.411447054765615	0.831425317062213	0.303674268545663
AT1G01460.1	-7.18409981219781	1.83156521478211	1.51747852310645e-08	3.90055539748227e-07	0.371311382679818
AT1G01470.1.Hnull	0.301034438239655	6.97961551877182	0.642069441713587	0.934156856642089	0.195853346287343
AT1G01490.1	1.23312066441456	6.03282247027274	0.0408699922423063	0.17476264696266	0.165736299538788
AT1G01500.1	0.441387806184922	4.52924098177061	0.475104133479509	0.869985809627827	0.176855061843434
AT1G01510.1	-0.629357779979408	5.06266686718384	0.340195416963973	0.767903172222817	0.20124534177491
AT1G01520.1.Hnull	-0.659249411409279	3.06167579618374	0.633190214622389	0.932523215971366	0.816444228059368
AT1G01540.2.Hnull	-0.134126037858558	6.10658713238254	0.825040301238986	0.977750111657155	0.171887315652777
AT1G01550.1	1.22285827802544	7.67026438776827	0.0487417813443255	0.200088837852885	0.175679071229451
AT1G01560.2	1.43207557855975	2.12592823092433	0.0894967908086348	0.321187495961252	0.305879542183433
AT1G01570.1	-1.83864888962124	2.30211144081572	0.0234450322313442	0.11156131401966	0.278974719504684
AT1G01580.1	0.0358061855720806	3.08147358261234	0.965373213472826	0.99714839092209	0.264948640359824
AT1G01590.1	-1.13108761683968	3.06050211709108	0.122731491758571	0.408024553098835	0.24038884329588
AT1G01600.1	-5.15772891413885	6.22743890292293	2.21384771678545e-11	9.92592270827232e-10	0.195066366128903
AT1G01610.1.Hnull	0.253539648675145	5.75264157678062	0.658557412678596	0.938931571033586	0.154002166636321
AT1G01620.1	-1.63010350091097	8.18202096339642	0.0274202920300054	0.126910133133454	0.242214119837494
AT1G01630.1.Hnull	0.217264861649062	5.83677447974266	0.711341472807667	0.951755195833858	0.161143732870614
AT1G01640.1	0.262760800820633	1.82602847590381	0.765592293078351	0.964939640578889	0.332194371540558
AT1G01650.1.Hnull	0.536743955061054	5.5623252216705	0.430728226666602	0.845686876792295	0.214979303921934
AT1G01660.1.Hnull	0.558054569036883	0.33120126966586	0.610731614776346	0.927001657982523	0.47180874940025
AT1G01670.1.Hnull	0.625707306938039	1.35299727482473	0.541535492020454	0.901520440795027	0.453187307659824
AT1G01680.1.Hnull	-0.289097658999893	0.630673638179001	0.857553989260258	0.981626816894802	1.00392447625762
AT1G01690.1	-1.82480598809348	3.16481236847838	0.0134192815033749	0.0704945334696948	0.234460234692489
AT1G01700.1	0.051473553158773	2.1347499869058	0.949965785034039	0.996628587474776	0.290490701809125
AT1G01710.1	0.152372756943992	5.5727523687917	0.79304374629233	0.968768886579466	0.157354095226227
AT1G01720.1	0.326113543598656	5.53349428049311	0.578756568178802	0.915479465211854	0.161064534795991
AT1G01725.1.Hnull	0.314130743809439	3.09237753512634	0.74770416330088	0.962366645873367	0.425128772766415
AT1G01730.1	0.504276814771381	4.69666149377759	0.392955177897192	0.816272319480822	0.161671739138357
AT1G01740.1.Hnull	0.629991891936264	3.26722227916125	0.384167936719005	0.808002111205789	0.238548157377214
AT1G01750.1.Hnull	-0.0111451077415223	0.332007206347903	1	1	0.519949893055676
AT1G01760.1	-0.0520396232656394	1.51048605894443	0.961847667504424	0.996628587474776	0.353704685959961
