baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	dispersion
AT1G01010.1.Hnull	133.051496956231	0.3217229401655	0.472118334902989	0.681445553754245	0.495589606806948	0.999937103465636	0.0340520201790067
AT1G01020.1	406.611180370601	-0.153964819052243	0.371902025622016	-0.413992956329649	0.678879265310698	0.999937103465636	1e-08
AT1G01030.1.Hnull	49.0519132121968	0.368454054988519	0.60790634292246	0.606103323773868	0.544446144001385	0.999937103465636	0.124376866663722
AT1G01040.2	2243.09924500087	0.923759932231348	0.353245634281183	2.61506397414111	0.00892107443292543	0.105385726501339	0.0959779134583187
AT1G01046.1.Hnull	25.9382035674619	-0.00110474576232438	0.702121433145097	-0.00157343973588124	0.998744577245398	0.999937103465636	1e-08
AT1G01050.1.Hnull	2238.08011096588	-0.138168590824106	0.324387309730849	-0.425937102591183	0.670153678306286	0.999937103465636	1e-08
AT1G01060.1	5861.661910774	0.274036202929553	0.323807442154301	0.846293714271609	0.397388913531367	0.999937103465636	0.0161450196219032
AT1G01070.1.Hnull	192.631206226587	-0.662257376995305	0.452813556769302	-1.46253875815982	0.143593631469431	0.809370116752428	0.0557222419977309
AT1G01080.2.Hnull	2589.94262471615	-0.0488425824587745	0.328106599246703	-0.148861932588103	0.881662579851666	0.999937103465636	0.0189174605582638
AT1G01090.1.Hnull	6096.10685873369	0.0241646540744403	0.322132385205084	0.0750146684539525	0.940203041038194	0.999937103465636	0.0203019503381739
AT1G01100.1.Hnull	4064.43485735349	-0.163623446739344	0.319567113568966	-0.512015910873859	0.60863987409849	0.999937103465636	0.000761447425952263
AT1G01110.2.Hnull	64.4403960064454	0.157621304166297	0.556145611452716	0.283417329779106	0.776856945523033	0.999937103465636	1e-08
AT1G01120.1.Hnull	1876.47199025355	-0.804626825903774	0.36192895268148	-2.22316236361421	0.0262048536670083	0.253356781956794	0.120485165124119
AT1G01130.1	95.4044686439844	-2.40132030414549	0.517973945403749	-4.63598666584226	3.55238867191598e-06	8.21914034987424e-05	0.00399982339560893
AT1G01140.3.Hnull	4199.27383070042	-0.254919007709792	0.320984782377553	-0.794177860463019	0.427091895350703	0.999937103465636	0.00572632959206901
AT1G01150.1	45.4993567226289	-3.95738005843021	0.677665383771853	-5.83972584877159	5.22867910709553e-09	1.69365888568416e-07	0.0625055192527398
AT1G01160.2.Hnull	817.739108399582	0.273682025079961	0.350616114238842	0.780574577053028	0.435052749131309	0.999937103465636	0.0232690189651465
AT1G01170.1.Hnull	1461.68394050304	-0.0411645436668439	0.330410736864823	-0.124585974588607	0.900851332534585	0.999937103465636	1e-08
AT1G01180.1	313.381813185592	2.80815222496933	0.419996046332799	6.68613966604863	2.29134358361379e-11	9.41687165571966e-10	1e-08
AT1G01190.1	8.18800319028884	-0.856255670791106	0.800056416798751	-1.0702441138054	0.284509442587715	0.999937103465636	0.0268269579527972
AT1G01200.1.Hnull	33.9686965226921	-0.526342425275347	0.68120666726123	-0.772661881586524	0.439722511406147	0.999937103465636	0.412299283636468
AT1G01210.1.Hnull	274.12986324506	0.225631440516213	0.404400609487907	0.557940406672309	0.57688507842366	0.999937103465636	0.0378763178097663
AT1G01220.1.Hnull	1230.57616911981	-0.0737510107605758	0.335313577218739	-0.219946389801165	0.825912906975645	0.999937103465636	0.00518375040924198
AT1G01225.1.Hnull	74.9273330058965	-0.250646525520984	0.551002489800526	-0.454891820201617	0.649187067936037	0.999937103465636	0.138582977912845
AT1G01230.1.Hnull	744.273244296429	0.076394683905274	0.346792491318541	0.220289325223892	0.825645833218403	0.999937103465636	1e-08
AT1G01240.1.Hnull	1076.18612190067	0.459735211566281	0.337040667953781	1.364034834008	0.172556602613949	0.883473020977629	0.000255954792269953
AT1G01250.1	576.567115273066	-1.49454665805923	0.359004269931447	-4.16303309803145	3.14047824094085e-05	0.000637670845198753	0.00557409295929598
AT1G01260.1.Hnull	756.670995223172	0.490644553064201	0.346391534043034	1.41644499026135	0.156645259373422	0.845168025686958	1e-08
AT1G01270.1.Hnull	0.269114389783068	-0.238960255646891	0.430466514396544	-0.555119266319428	0.578813085511905	0.999937103465636	1e-08
AT1G01280.1.Hnull	1.15967372176784	0.225941155600151	0.525549745580248	0.429913928225185	0.667258253299712	0.999937103465636	1e-08
AT1G01290.1.Hnull	421.714796887323	0.185656217258414	0.369959236125405	0.501828847963894	0.615787918851677	0.999937103465636	1e-08
AT1G01300.1	3994.67707867787	-2.13753163667705	0.341326219494125	-6.26243023417613	3.79023467214738e-10	1.37407302266683e-08	0.0690967671789524
AT1G01310.1.Hnull	3.03902654989567	-0.159060255875895	0.730217120769115	-0.217825974428484	0.827564705796653	0.999937103465636	1e-08
AT1G01320.1	17628.2451367946	1.58181152145393	0.359419700642207	4.40101507687967	1.07745636851543e-05	0.000235175903210813	0.145634847750125
AT1G01340.2.Hnull	247.741456241702	-0.26233908457942	0.40795836956329	-0.643053566618201	0.5201893424659	0.999937103465636	1e-08
AT1G01350.1.Hnull	497.79764911515	0.119706190365108	0.361527759510364	0.331112030033966	0.740559865048146	0.999937103465636	1e-08
AT1G01355.1.Hnull	5.84760858215501	0.397656250479635	0.788895616835468	0.504067004548423	0.61421429246408	0.999937103465636	1e-08
AT1G01360.1.Hnull	1099.32585970646	0.169531294397229	0.341680428094727	0.496169169953826	0.619775060684023	0.999937103465636	0.0118469398627061
AT1G01370.1.Hnull	42.114556719637	-0.47833670699777	0.663971162629284	-0.720417894511542	0.471267735566402	0.999937103465636	0.413993669895456
AT1G01380.1.Hnull	29.10889113385	0.335498110830769	0.695117903016617	0.482649215873741	0.629344827609937	0.999937103465636	0.193658548042977
AT1G01390.1.Hnull	546.997625239991	0.131806771298222	0.359318859350891	0.366823972268895	0.713750324990698	0.999937103465636	0.00138949549437314
AT1G01400.1.Hnull	4.69470137088269	0.07177840570663	0.776156940807209	0.0924792421903487	0.926317282869381	0.999937103465636	1e-08
AT1G01420.1.Hnull	551.310686242829	0.358534326014547	0.375326721550699	0.955259259274765	0.339446604751218	0.999937103465636	0.0638658549152509
AT1G01430.1.Hnull	1258.92906553231	-0.521434907926729	0.359289254858293	-1.45129558113946	0.146697571239284	0.817438766773298	0.0895761965394748
AT1G01440.1.Hnull	839.94094346282	0.174859756665829	0.344857590068385	0.50704917537455	0.61212031493602	0.999937103465636	0.00589001585601584
AT1G01448.1.Hnull	243.695321429614	0.313982472706365	0.419331916247456	0.748768363534433	0.453996830959699	0.999937103465636	0.0633805972189589
AT1G01450.1	13.7365589713009	0.405368385804905	0.776200236098966	0.522247181786762	0.601498239109466	0.999937103465636	1e-08
AT1G01453.2.Hnull	1.5241543285818	-0.00217876585759351	0.590344255957559	-0.00369067003804326	0.997055278042661	0.999937103465636	1e-08
AT1G01460.1	133.63005809724	-5.55748145517176	0.638248540563292	-8.70739391000715	3.10941019196392e-18	2.2635017650065e-16	1.19997414838332
AT1G01470.1.Hnull	4636.64468645159	0.172229469856197	0.318285724055113	0.541115912023673	0.588427691306395	0.999937103465636	3.08884359647747e-05
AT1G01480.1.Hnull	11.9228412211662	0.903865785536489	0.786994689683243	1.14850302979844	0.250760962973444	0.999937103465636	0.0505919748843582
AT1G01490.1.Hnull	2084.2311486391	0.0543184424364186	0.329234302600586	0.164984152645587	0.868956455476713	0.999937103465636	0.0116961196543223
AT1G01500.1.Hnull	1080.75260349338	0.541621690895594	0.351136024561626	1.5424839748977	0.122956029164684	0.743248558804451	0.0490595730377451
AT1G01510.1	1231.77501452116	-0.530268155835098	0.394347441760637	-1.34467248847265	0.178731022838445	0.893862443827769	0.228768602995665
AT1G01520.1.Hnull	289.285978410891	-0.526900801697549	0.445797722025299	-1.18192798138086	0.237234278192422	0.999937103465636	0.104490332302289
AT1G01530.1	3.51255458551932	0.417339473297151	0.748534453806631	0.557542102671152	0.577157101397383	0.999937103465636	1e-08
AT1G01540.2.Hnull	2519.58058178312	-0.273507790313496	0.360440267033655	-0.758815857518932	0.447962718327893	0.999937103465636	0.126715152667155
AT1G01550.1.Hnull	6179.04185628113	0.104673143071366	0.335442541478814	0.312044926114349	0.755006380631109	0.999937103465636	0.0577973626898778
AT1G01560.2.Hnull	169.272107359322	-0.488417667705864	0.438853861118922	-1.11293920591372	0.265734540327529	0.999937103465636	0.0121825027610916
AT1G01570.1.Hnull	56.9209028900696	0.476478101171112	0.57422513025569	0.829775772716438	0.406665571084405	0.999937103465636	1e-08
AT1G01580.1.Hnull	184.787875355521	0.5036684134389	0.450920426549493	1.11697848175351	0.264003525868326	0.999937103465636	0.108453186357184
AT1G01590.1.Hnull	111.485673775454	0.708691535259711	0.485317843973132	1.46026267952131	0.14421789475278	0.810030491952394	1e-08
AT1G01600.1.Hnull	207.47035251729	-0.343467568669117	0.45808512376191	-0.749789833488753	0.453381292736294	0.999937103465636	0.198325939965391
AT1G01610.1.Hnull	1944.54117475605	0.0996558417617191	0.327096996827157	0.3046675534425	0.760619364031718	0.999937103465636	0.00311840111326302
AT1G01620.1.Hnull	4500.52709807431	-0.761580670175084	0.414574801246715	-1.83701630655035	0.066207488158623	0.505157374618274	0.370754581190927
