baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pvalue	padj	dispersion
AT1G01010.1.Hnull	136.041306766792	107.411425720064	164.67118781352	1.53308818600626	0.616440685812555	0.657026661862839	1	0.775139421781577
AT1G01020.1.Hnull	348.747001467984	351.057217976829	346.43678495914	0.98683851867705	-0.0191140662985572	0.97547241115242	1	0.0041854903951821
AT1G01030.1.Hnull	49.15305606679	41.216855935665	57.0892561979151	1.38509488174026	0.469984807124695	0.618160834864898	1	0.0723098436110515
AT1G01040.2.Hnull	2209.20676507036	1997.41869949534	2420.99483064537	1.21206176314313	0.277463216228341	0.748833458176045	1	0.101775069894245
AT1G01046.1.Hnull	26.3766021499061	24.8845120295919	27.8686922702203	1.11992118780869	0.16339720910588	0.930864704972167	1	0.745134115351897
AT1G01050.1.Hnull	2253.11854736838	2279.06456193349	2227.17253280327	0.977230996437326	-0.0332284702330687	0.957938611986421	1	0.218566067847507
AT1G01060.1.Hnull	2953.24777353648	5320.9819836324	585.513563440559	0.110038629193188	-3.18391802238985	0.32369493444633	1	3.12046346276545
AT1G01070.1	353.475266674042	307.831978820927	399.118554527157	1.29654675922846	0.374674237113352	0.679510181945797	1	0.209946441331683
AT1G01080.2.Hnull	2566.01248183479	2468.13622605531	2663.88873761427	1.07931187488456	0.110111802116323	0.891472363719765	1	0.278760962482109
AT1G01090.1.Hnull	6063.10202721505	5717.34818024428	6408.85587418583	1.12094902604165	0.164720674620616	0.846463084379523	1	0.122403210918725
AT1G01100.1.Hnull	4004.98861165227	4079.7482977318	3930.22892557274	0.96335083410852	-0.0538667989444386	0.976070483958061	1	0.545731077775479
AT1G01110.2	327.407343016601	559.045831715395	95.7688543178076	0.1713076976604	-2.54533811493671	0.0651179033097975	0.580315432437313	0.71597712739209
AT1G01120.1.Hnull	1869.57782228461	2444.13205034642	1295.0235942228	0.529850093017377	-0.91634384964826	0.33061621203098	1	0.426857411855589
AT1G01130.1.Hnull	39.5563210289111	51.6378729769411	27.4747690808812	0.532066243184534	-0.910322219904625	0.396083194416009	1	0.360886308199122
AT1G01140.3.Hnull	4233.63375492754	4539.51549237045	3927.75201748462	0.865235953943979	-0.208834478710274	0.822682053029724	1	0.482227325087142
AT1G01150.1.Hnull	16.4266832685481	16.1653581108307	16.6880084262654	1.03233150245428	0.0459063236193499	0.984585131155195	1	1.50807521738432
AT1G01160.2	1226.73119900793	1387.86853965601	1065.59385835985	0.767791637256912	-0.381213248369712	0.651473460281108	1	0.0291748282549298
AT1G01170.1	1550.87962958535	1529.95759008579	1571.80166908492	1.0273498293484	0.0389275264735892	0.966035484566578	1	-0.000384821159364461
AT1G01180.1.Hnull	377.80511379864	348.122980799903	407.487246797378	1.1705267082945	0.227157853274716	0.817786888014297	1	0.277386733427068
AT1G01183.1	0.509527887915939	1.01905577583188	0	0	-Inf	0.858624289615378	1	2.0469622177748
AT1G01190.1.Hnull	190.958790018891	151.630009145231	230.287570892552	1.51874666624852	0.602881241908868	0.783208232082829	1	2.00778735941208
AT1G01200.1.Hnull	33.6001750367624	39.1026835692369	28.097666504288	0.718561079178544	-0.476817300928831	0.630686329367848	1	0.196406340946974
AT1G01210.1.Hnull	274.283619779651	239.884659753348	308.682579805954	1.28679582980981	0.363783165689509	0.691986892379791	1	0.0336664446469482
AT1G01220.1	1122.06369715123	997.769834758996	1246.35755954347	1.24914335563624	0.320939054686034	0.694980575795576	1	0.0173619575313631
AT1G01225.1.Hnull	74.1847253639847	75.2728699477438	73.0965807802256	0.97108800064314	-0.0423260553306752	0.958485620829665	1	0.226152150273483
AT1G01230.1.Hnull	750.645819316487	699.571350191406	801.720288441569	1.14601646883083	0.196627776494332	0.828697794230001	1	0.164042319389321
AT1G01240.1	1164.15670284737	710.025575536502	1618.28783015824	2.27919653307621	1.18852533226863	0.173317605804536	1	0.0764928505488874
AT1G01250.1	569.438797858166	841.324152192032	297.553443524299	0.353672770179052	-1.4995129469254	0.0868270167423079	0.707052962975681	0.163218105151096
AT1G01260.1	1105.55374639113	1066.7447801046	1144.36271267766	1.07276148336573	0.101329344485153	0.917475330262324	1	0.0406680838850997
AT1G01270.1.Hnull	0.254763943957969	0.509527887915939	0	0	-Inf	1	1	0.0939244355495945
AT1G01280.1.Hnull	1.21988036833814	0.439760736676279	2	4.54792761881391	2.18520929363008	0.737369969981824	1	2.00217532875608
AT1G01290.1	584.367676829484	561.541381860581	607.193971798388	1.08129870996603	0.112765124234752	0.90656276269225	1	0.0096915047721606
