baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	dispersion
AT1G01010.1	231.997501520002	0.00659896078097046	0.458943559341478	0.0143785889281006	0.988527941185709	0.999612794637831	0.0448030556764818
AT1G01020.1.Hnull	349.06072034178	-0.0641092295587526	0.399818094116499	-0.160345993595959	0.872608529905022	0.989695379736364	0.00888169297578413
AT1G01030.1	147.373020995849	-2.23648328876552	0.516079658902184	-4.33360092804863	1.4668998292026e-05	0.000192893309859538	0.000255954792269953
AT1G01040.2.Hnull	2202.47317059292	0.196444761955176	0.298641207875635	0.657795229776136	0.510669720032578	0.899752253412432	0.00513877628875898
AT1G01046.1.Hnull	26.2109068042509	0.0414497722104251	0.830075038021255	0.0499349701073214	0.960174209937411	0.998116060722758	1e-08
AT1G01050.1.Hnull	2248.41395372354	-0.0918694783636724	0.294247914142205	-0.312217942585902	0.754874896991359	0.970191614049859	1e-08
AT1G01060.1.Hnull	2976.81577129505	-1.54434315236979	0.908469289110982	-1.69993985584374	0.0891422391002593	0.393044505257368	1.0469474370448
AT1G01070.1	351.836452685587	0.298961643678486	0.394330944386345	0.758149082476211	0.448361739122596	0.871511954452874	1e-08
AT1G01080.2.Hnull	2576.20562517074	-0.00109635616750698	0.302043237867246	-0.00362979875082934	0.997103845977577	0.999612794637831	0.0143445544034884
AT1G01090.1.Hnull	6077.5244051406	0.0732299564270205	0.290317290488683	0.252241112831256	0.80085470175621	0.978220498761132	0.0140967407419546
AT1G01100.1.Hnull	4030.37726494451	-0.118054671693415	0.284596099816701	-0.414814791100265	0.678277490862317	0.957039262675049	1e-08
AT1G01110.2	332.922027827554	-2.22802142458899	0.486308628670256	-4.58149679696453	4.61659677087834e-06	6.59230490646573e-05	0.21136484780336
AT1G01120.1.Hnull	1875.77607984987	-0.770920105783435	0.365850993326741	-2.10719697320851	0.0351005091993564	0.197898356276643	0.116367079448973
AT1G01130.1	94.6741479738571	-2.36645373603299	0.596842342407023	-3.96495618338546	7.34094303848539e-05	0.000851148070377592	0.00262039852885835
AT1G01140.3	4748.59729305943	1.34786296587406	0.289412843775715	4.65723272087607	3.20488096064489e-06	4.69115536278679e-05	0.00944870279039563
