baseMean	baseMeanA	baseMeanB	log2FoldChange	X.Intercept.	batch2	groupLeaf	dispersion	pvalue	padj
AT1G01010.1	233.139653996327	226.660237779392	239.619070213261	0.0802114040806214	-12.0829533051863	0.176817351774101	0.0344141851591663	0.0855185936446812	0.909228345802617	0.96094899732623
AT1G01020.1.Hnull	352.777917634067	356.930688959751	348.625146308382	-0.0339673151652928	-11.4896127515708	-0.127756051161065	-0.0154009594774275	0.0710977653466116	0.954924208382913	0.979193117857301
AT1G01030.1.Hnull	49.2442661417021	40.9694320881084	57.5191001952958	0.489493212494287	-13.8698505469282	0.261256873564795	0.381210848673496	0.128525487067614	0.329917635820406	0.568531805671063
AT1G01040.2.Hnull	2245.59426499796	2040.83041678585	2450.35811321007	0.263836304297995	-9.5756047510607	-0.508747989974691	0.170613969719089	0.0544805201137161	0.467134532239392	0.688651252725299
AT1G01046.1.Hnull	27.1985841976093	25.9579818281324	28.4391865670862	0.13170197924757	-13.6558654675749	-1.5158486159106	0.0639626486408373	0.107883961346251	0.872982618734356	0.943202574374001
AT1G01050.1.Hnull	2302.0018523579	2345.75421427296	2258.24949044285	-0.0548469739242577	-9.35732643549894	-0.759818269249003	-0.0342697804499316	0.0547689162920451	0.884105427912899	0.948840915465951
AT1G01060.1	6238.16428060864	5795.77368066535	6680.55488055193	0.204966676403527	-8.20061615553355	-2.5939968496965	0.268718269576915	0.0670234267701454	0.303462979848567	0.541214993091735
AT1G01070.1.Hnull	203.010268490974	264.687990594824	141.332546387125	-0.90519900736235	-11.3282593687224	-2.45752799385362	-0.431611578972	0.092627273077947	0.195219962417608	0.413165608802898
AT1G01080.2	1904.94025843923	1993.90920962876	1815.97130724969	-0.134858311859429	-9.70482997290554	-0.278515850667316	-0.0793183482506126	0.0548539491799867	0.736460954474958	0.868592025821821
AT1G01090.1	6004.01953690601	6842.27759444804	5165.76147936398	-0.405495605219105	-8.77825658994052	0.289734314819867	-0.223145145770758	0.0786231542351099	0.436543604324499	0.665173547672933
AT1G01100.1.Hnull	3967.94552221626	4022.5358566746	3913.35518775792	-0.0396992216393347	-9.79802032370657	1.0879934445811	-0.0528781073176911	0.0589582348359941	0.8281354093081	0.921726864680193
AT1G01110.2.Hnull	66.4932404713933	61.1752897134547	71.8111912293319	0.231259666021373	-13.0167249743452	-0.758353546188419	0.192636519357695	0.117449416534484	0.599225122701584	0.783808572198361
AT1G01120.1.Hnull	1922.893051426	2536.93030799225	1308.85579485975	-0.954777732713492	-9.33400771653772	-0.795315725456374	-0.520656806126786	0.0672518346761363	0.050804166686996	0.152592573390284
AT1G01130.1	96.4348426033877	166.864081640949	26.0056035658266	-2.68177901348589	-11.9931327865875	-0.823513106860747	-1.82470330008542	0.110305152204461	1.61374843382441e-06	1.17974332240202e-05
AT1G01140.3	4837.95734396682	2609.43614479249	7066.47854314115	1.43725335372456	-9.46124357442636	-0.196698532524988	0.989037347571429	0.0615461345709782	9.61672759556824e-05	0.000548201289375914
AT1G01150.1	45.0850178212693	88.0756078577571	2.09442778478155	-5.39411448008068	-12.7811709674703	-0.380781879304561	-3.66951143113155	0.122243616834652	3.12107971373594e-12	4.16072801783265e-11
