logFC	AveExpr	t	pvalue	padj	dispersion
AT1G01030.1	-2.38167385242954	1.47575672149179	-4.55659949917219	5.22106558960186e-06	4.13422847589127e-05	0.522686677392258
AT1G01040.2	1.08872620242364	5.80750055421212	3.31206372636664	0.000927291861250598	0.00494848048659272	0.328715354646265
AT1G01060.1.Hnull	-2.03923614349379	4.23455845759476	-5.786789568085	7.2518428185087e-09	8.42634262429743e-08	0.352395074937661
AT1G01100.1	-2.5560310150512	7.14865111001271	-7.35873761683063	1.90825526166615e-13	3.56418244582685e-12	0.347346399361371
AT1G01150.1	-5.03641036580936	-1.28808832064069	-6.90891501475052	4.98956825200691e-12	8.10379760224601e-11	0.728972690365511
AT1G01240.1	1.17097152505025	4.8658467133465	3.50048436510901	0.000465144918224157	0.00265168095988252	0.334516999053581
AT1G01250.1	-1.46811122488684	3.74413174746387	-4.09224566115351	4.2842731583729e-05	0.000295972172195377	0.358754421520485
AT1G01310.1	-6.96421333775069	0.903416489506754	-11.5991956957691	4.90883936292271e-31	4.00280373183695e-29	0.600404848785416
AT1G01340.2	2.53001708256053	2.38599916355305	5.7518371596121	8.92089863226412e-09	1.02408804357009e-07	0.43986243218526
AT1G01360.1	1.33375312975639	5.14626619784283	4.01851239977681	5.87217536537536e-05	0.000395841655291576	0.331902205858682
AT1G01400.1	-4.4224383533764	-1.71211663845635	-5.74892552133802	9.07568300239128e-09	1.04099213790499e-07	0.769263462704786
AT1G01420.1	4.645444659377	2.22904844122931	9.51393473962441	1.9799344881954e-21	7.12647513765434e-20	0.488277961381139
AT1G01440.1	1.34056559724776	4.2510426406681	3.83043013518276	0.000128201922564472	0.00081356422071848	0.349977822316762
AT1G01470.1	3.18199981283869	4.96976204561157	9.1058319518878	9.12240703178167e-20	2.94248188540888e-18	0.349446358075936
AT1G01490.1	1.19528745192312	5.88720846237464	3.63295499026256	0.000280700973879006	0.0016672576323458	0.329012458212904
AT1G01570.1	-1.875227584774	2.0015392037416	-4.00064846318884	6.33335496058687e-05	0.000424831184604472	0.468730907508753
AT1G01690.1	-1.90691558588298	2.84109297261191	-4.54980274984103	5.39244546464317e-06	4.26382637240077e-05	0.419120496146697
AT1G01740.1	1.18540405130131	2.93654338289288	2.91973336902027	0.00350613755344818	0.0163162038318563	0.405997363964461
AT1G01790.1	1.64255363138473	7.56339912353429	4.73330732177626	2.21983560460683e-06	1.85498535725957e-05	0.347020279842792
AT1G01810.1	-1.69725970718545	-0.611078944406615	-2.57640391504135	0.00998853447509456	0.0412725050067323	0.658770815118174
AT1G01830.2	0.919655922011408	6.03605933629419	2.80021105111727	0.00511046356624555	0.0227632201678578	0.328423788501395
AT1G02090.1	-1.0851830963929	5.0028139353509	-3.25998357490768	0.00111553382431183	0.00585803600027583	0.332879927600134
AT1G02120.1	1.10270795942527	6.36223810197318	3.34105736217927	0.000835704977916216	0.00450846852157259	0.33004759867577
AT1G02190.1	-8.57784517731079	2.86755127307763	-15.5701019771235	1.98004819954274e-54	1.03272589396151e-51	0.550917726159652
AT1G02270.1	1.19651323155248	4.73081992723889	3.54773698612211	0.000389199408173925	0.00224793966572332	0.337260974033012
AT1G02280.1	-1.37333727902366	5.51677711651095	-4.1481715406675	3.36142043272371e-05	0.00023529943029066	0.331070512769264
AT1G02310.1	-5.41120610783915	-1.83850355691234	-6.82995014899274	8.67028838587049e-12	1.37191060017526e-10	0.792276076661727
AT1G02335.1	-1.37169800356788	2.85532556505038	-3.48979700412713	0.00048414026723828	0.00274637582747133	0.393059539550774
AT1G02360.1	4.58062148392419	-1.56956245200701	5.98446774494213	2.19770013007914e-09	2.72182010285742e-08	0.765418359518367
AT1G02370.1	-1.3324314690184	3.2161285554067	-3.34220748070985	0.000832251118493399	0.00449246585989319	0.398668088892975
AT1G02380.1	-1.67556171822316	1.21537174242736	-3.32440187031759	0.000887235940190392	0.00475491723433172	0.504019003593897
AT1G02400.1	-1.36633368896156	0.740808301598366	-2.5804088894191	0.00987344780757901	0.0408641589676458	0.529502783285306
AT1G02450.1	-2.44292621599595	1.72044421577877	-5.10003676566573	3.41828704242032e-07	3.18582969364885e-06	0.479001687290203
AT1G02510.1	-7.99802028425244	-2.1251718992476	-9.67356461384382	4.23355299383333e-22	1.62991790262583e-20	0.826791426275945
AT1G02530.1	-4.14814496584317	-0.475172922759839	-6.26058600102867	3.89166923811537e-10	5.21713931858503e-09	0.662580941330666
AT1G02560.1	1.05294774807779	7.98581919191878	2.99633009915215	0.00273492832918159	0.0130354171467451	0.351412465661154
AT1G02720.1	-2.33264399018247	3.3722400104352	-5.99990938180722	1.99881690657509e-09	2.48552837374968e-08	0.388779870118615
AT1G02730.1	-5.3268563844254	4.21145297611026	-12.916081267111	4.70757536646026e-38	6.47420427139607e-36	0.412420476014617
AT1G02800.1	-7.83066439470571	1.07474557100563	-12.7301627250238	5.10789701184812e-37	6.44737886294601e-35	0.615126810540519
AT1G02810.1	-4.62641385050755	0.522750154554766	-8.08434386475617	6.50336906905579e-16	1.47961013313506e-14	0.572268316130946
AT1G02820.1.Hnull	-1.44543271381648	4.39997663080129	-4.24655981061295	2.17786602839719e-05	0.000156655609219317	0.340377335603298
AT1G02870.1	-1.43224110326866	3.50295364553094	-3.82749813745083	0.000129737395952268	0.000822552944107464	0.374197727036009
AT1G02890.1	1.0938568634945	6.69052937382396	3.30525720698336	0.000950100138180801	0.00505653025023717	0.330944551359995
AT1G02910.1	1.38506749938353	5.40645725473007	4.19186328114422	2.77532520653413e-05	0.000196210523489061	0.330418099658408
AT1G02920.1	7.46126994798863	2.766662265667	14.562535047246	7.31507508838061e-48	2.12853284913795e-45	0.512360651753396
AT1G02930.1	4.45498944743221	4.66959313449405	11.8923042330479	1.55808948850735e-32	1.44531099767814e-30	0.37461112330545
AT1G03010.1	2.5800590331434	-0.0293853675541317	4.5701910441343	4.89386750963163e-06	3.89074430741291e-05	0.564540739813235
AT1G03055.1	1.87599484063252	2.28969631407782	4.40599488916711	1.05695197892266e-05	7.96329341874058e-05	0.42578234605877
AT1G03110.1	-2.72671799366825	3.05025013201362	-6.66722688100447	2.6558850907511e-11	3.98353942287752e-10	0.408973332141571
AT1G03130.1	2.63451745590266	8.68742285243749	7.28269453826724	3.35957191886763e-13	6.08575665486618e-12	0.361750371659758
AT1G03160.1	1.27270468237305	5.95484415908468	3.86769041628655	0.000110122670988868	0.000707770517122824	0.329060639655591
AT1G03170.1	-6.54285571892592	1.53679222661637	-11.4829169230544	1.88490610572211e-30	1.46360841237293e-28	0.569790390609703
AT1G03200.1	1.29133364327468	2.58947251221761	2.96831438924633	0.00299694542763242	0.0141469539713188	0.435039377214541
AT1G03270.1	-2.02938550471228	2.31710899052515	-4.63863213968315	3.52328231012987e-06	2.86537490140982e-05	0.437496538548732
AT1G03300.1	-1.21284749350495	3.05535046002644	-3.14093190539983	0.00168588715256743	0.00846403533571039	0.386142562154831
AT1G03330.1	-1.02077539184142	4.71785679771475	-3.05232123903205	0.00227294460753816	0.0110365374646368	0.334425937476072
AT1G03360.1	-2.59505196664376	2.96332848258142	-6.23017780714438	4.72619701818715e-10	6.29620550234927e-09	0.416529358707534
AT1G03370.1	1.54383043875302	5.33123974210156	4.65264318858986	3.29224715398896e-06	2.6909399195067e-05	0.331817931480134
AT1G03380.1	2.44855980234819	5.9589081318788	7.3233164197063	2.48522374641172e-13	4.58299132902329e-12	0.334351223137015
AT1G03400.1	2.59857568321968	4.63127153738414	7.35354271805881	1.98379155740712e-13	3.69279124723267e-12	0.353377383235716
AT1G03430.1	1.19871772565996	4.46094318954222	3.50101688045762	0.000464216877547556	0.00264693629250146	0.342391301324795
AT1G03440.1.DE	0.962509069149048	4.46147632009903	2.85466574849124	0.00431141888758996	0.0196117413706844	0.337170496986471
AT1G03445.1	-2.54754023240147	-2.27845161427054	-3.23175592018651	0.00123176153266925	0.00640150104297351	0.788283612784238
AT1G03457.2	-2.63084472402031	1.97742378784877	-5.78631819805059	7.27218664339487e-09	8.44643089846069e-08	0.454666444874505
AT1G03490.1	-2.69088813290669	-3.27772371541557	-3.18544360950034	0.0014469272565604	0.00738777431715906	0.844745179252686
AT1G03580.1	3.50674772888772	-0.919496848916706	4.78770849428203	1.69568662085306e-06	1.43696705273578e-05	0.732448045463887
AT1G03590.1	-1.27257090659419	5.00352770227924	-3.79634561569653	0.000147158259490821	0.000922007200159739	0.335209444928449
