baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	dispersion
AT1G01030.1	140.69611780435	-2.17940534709695	0.579959772054044	-3.75785606539251	0.000171375406477599	0.00106537211874483	1e-08
AT1G01040.2	2280.91811373332	1.16605646206974	0.385507942312564	3.02472746754544	0.00248857259574511	0.0119315696794109	0.109632230970751
AT1G01060.1.Hnull	2905.79150058421	-1.93404214738974	0.696126466611467	-2.77829135962043	0.00546455944586348	0.0239576521013619	1.02828206586093
AT1G01100.1	7337.05902747922	-2.42175896889413	0.316791704568921	-7.64464136518213	2.09528499035984e-14	4.62948557928055e-13	0.0273631754266583
AT1G01130.1	91.6585372753422	-2.36405174951333	0.680726714076015	-3.47283528122174	0.000514991318282762	0.00289433989114095	0.000482695743767787
AT1G01140.3	4900.48931355498	1.53237955212074	0.308832334093838	4.96184946636815	6.98251030603974e-07	6.58911319503444e-06	0.0131380779450957
AT1G01180.1	332.325801913327	3.15667488099069	0.491574776759245	6.42155584507688	1.34888510184832e-10	2.04218880297063e-09	0.0920550514241498
AT1G01240.1	1180.38501437221	1.2651971060031	0.34127404531652	3.70727608315386	0.00020950051286448	0.0012773548750739	0.00808993840621773
AT1G01300.1	3769.97732464765	-1.99945112016808	0.360600430050265	-5.54478296071186	2.94319015569715e-08	3.31395378497078e-07	0.0813268428646119
AT1G01320.1	18129.567359273	1.84574893767882	0.396955595714831	4.64976173054075	3.3231872095029e-06	2.8036017351663e-05	0.167769621366113
AT1G01340.2	275.877823664749	2.56322394809341	0.484419778585611	5.29132802045657	1.21431346277319e-07	1.26966614968038e-06	0.036484600109761
AT1G01390.1	483.891104914654	3.89134854287813	0.411836922515687	9.4487607354581	3.42865834786969e-21	1.28622542882481e-19	1e-08
AT1G01400.1	27.1660744787233	-3.62087768849938	1.13899628911756	-3.1790074498879	0.00147780292905434	0.00751600305369002	0.449648852970826
AT1G01440.1	794.104683313024	1.43111728827553	0.382281622716157	3.74362041812857	0.000181387610773434	0.00111969234145633	1e-08
AT1G01470.1	1968.84833869291	3.25243367341936	0.320816455250826	10.1379889347524	3.7473458276582e-24	1.70202510494392e-22	0.00245730191290888
AT1G01520.1	389.922526065929	2.39990793939921	0.483279944053235	4.96587530463473	6.83918906873793e-07	6.46722323941998e-06	0.122010491365036
AT1G01550.1	7472.2078821068	1.2691855293897	0.322426241771547	3.93635928147863	8.27270923037416e-05	0.000547662460379971	0.0354726525343436
AT1G01680.1	62.7944471308706	3.68859750284136	0.809656153527534	4.55575800513684	5.21970024024142e-06	4.25131093363834e-05	1e-08
AT1G01830.2	2552.26413316089	1.01810804019897	0.309535897358096	3.28914367893536	0.0010049270967709	0.0053169440604048	1e-08
AT1G01880.1	181.693401510065	-2.22320874560661	0.595861234654502	-3.73108471621869	0.00019065709235162	0.00117153091228217	0.165814498636992
AT1G01920.1	615.152681250107	-1.83501826921471	0.377030826608468	-4.86702449696588	1.13290990883846e-06	1.03281962399535e-05	0.000482695743767787
AT1G01970.1	1139.24764795965	0.849493142763067	0.335634126957088	2.53100943716513	0.0113734788466325	0.0454104330182046	1e-08
AT1G02040.1	186.025834943635	-7.84593278725813	0.954755450205493	-8.21774076866431	2.07372616459056e-16	5.43306742617386e-15	0.288788598642707
AT1G02070.1	93.7611112735131	-1.94496827718736	0.701765847421886	-2.77153452869315	0.00557927547129187	0.0243997181120088	0.10559152313674
AT1G02090.1	1239.76102675216	-0.961549244345215	0.343721194445334	-2.79746858757684	0.00515047752220015	0.0227157933343986	0.0143505186928915
AT1G02120.1	3276.7823505617	1.20015684208281	0.303639219456008	3.95257517863793	7.73146272588007e-05	0.000513916198532023	0.000316227766016838
AT1G02180.1	294.378618078455	-2.31804220321589	0.47321455438061	-4.89850149738097	9.65703030247645e-07	8.89614976977326e-06	1e-08
AT1G02190.1	2887.02808749549	-8.04685642776796	0.580985387476433	-13.8503594087284	1.26577167565202e-43	1.75259513345128e-41	0.563487333915498
AT1G02205.3	15036.5622478481	-3.60981166102266	0.470999838328811	-7.66414628470127	1.80024616288409e-14	3.98917786976236e-13	0.334769371064167
AT1G02280.1	1832.46488302879	-1.24705654641156	0.328841081450162	-3.79227723285712	0.000149272136074755	0.000939986554786066	0.0132491642960158
AT1G02300.1	818.422650144688	0.95880488706665	0.370734162220329	2.58623289886306	0.00970313421444196	0.0395288524007027	1e-08
AT1G02305.1	4615.7796792548	0.761659054480232	0.304630970024558	2.50026796165482	0.0124099399726304	0.0489582953919382	0.00758494356361522
AT1G02310.1	32.7166526472099	-4.68257644776275	1.11211499838715	-4.21051460914893	2.54789645953059e-05	0.000183298376524337	1e-08
AT1G02360.1	33.6043153055683	3.94486348482639	1.09065358700261	3.61697199902664	0.000298069534186454	0.00176006631636695	0.532760746146742
AT1G02450.1	175.254477321732	-2.1908314907303	0.723858790520723	-3.02660065667543	0.00247320461756582	0.0118671125677138	0.562227002062379
AT1G02470.2	503.58920559281	-1.13985934232534	0.401206451788976	-2.84107929282473	0.00449611316953267	0.0201705652611638	0.0142750113415109
AT1G02475.1	2498.27340251415	1.83097045483397	0.311419326942106	5.87943745435669	4.1166311003461e-09	5.20467925392956e-08	1e-08
AT1G02520.1	417.091366050261	-5.34302419034779	0.480074161801721	-11.1295808345431	9.00579919345417e-29	5.7151802326015e-27	0.0154594277709644
AT1G02560.1	10046.1498515951	1.15169414687554	0.307100570190654	3.75021819777327	0.000176680762152053	0.00109477859835254	0.0187522014645575
AT1G02610.1	217.917884120642	2.14483137181156	0.496575422669257	4.31924592699813	1.56563238948741e-05	0.000117312028764282	1e-08
AT1G02630.1	112.92268236616	-1.56168186425101	0.623214076118545	-2.50585139857135	0.0122156947478244	0.0482836958838747	1e-08
AT1G02640.1	987.046089896053	-3.25730804141767	0.551414663179479	-5.90718430053329	3.48004359358253e-09	4.44659261403728e-08	0.444350421459119
AT1G02660.1	733.770183400662	-1.94739877214402	0.445503337451599	-4.37123273482904	1.23547014801215e-05	9.44971455256585e-05	0.144414468059565
AT1G02670.1	135.973482959977	-3.51960428573601	0.648407208511071	-5.42807704716614	5.69644499286826e-08	6.20924188784558e-07	0.114307257458017
AT1G02690.2	764.490346719519	-3.49414080034426	0.407681663209687	-8.57075781342435	1.02806250593997e-17	3.03843674135893e-16	0.0626859025959091
AT1G02720.1	501.866417595158	-2.17752348906076	0.466803354499189	-4.66475544374979	3.08984286817341e-06	2.62320885047528e-05	0.134553690729843
AT1G02770.1	71.4121244653082	-2.81376614740625	0.848301110166302	-3.31694266774523	0.000910082897733828	0.00485421598570266	1e-08
AT1G02800.1	673.917902442059	-7.0234954113576	0.743858565746512	-9.44197692246651	3.65811357489319e-21	1.37005348741e-19	1.01592743197333
AT1G02810.1	138.610956307154	-4.23310595896806	0.718993425905697	-5.88754473469035	3.91975092852523e-09	4.96951330261306e-08	0.315747660290206
AT1G02820.1	951.141338342616	2.95503884437642	0.423438185424033	6.97867822529332	2.97970048432477e-12	5.42856756498276e-11	0.118669316664884
AT1G02900.1	145.217441369001	-4.50773683730185	0.660587023056928	-6.82383498307593	8.86416991929339e-12	1.54235206379419e-10	0.0614437740951172
AT1G02910.1	1768.9792704291	1.47295554196487	0.343701063509861	4.28557167360236	1.82269870406228e-05	0.000134892693854898	1e-08
AT1G02970.1	100.97424400293	-4.5990182643961	0.767402638795171	-5.99296644538074	2.06047378609189e-09	2.71944448972012e-08	0.157808525272559
AT1G03010.1	77.0772701241116	2.3691133840907	0.890750506990453	2.65968233023536	0.00782143828868256	0.0327700079145003	0.674498399576984
AT1G03050.1	916.123188721062	-6.89595107030293	0.5130292811443	-13.441632522264	3.4474612131675e-41	4.30386332655872e-39	0.18845592808792
AT1G03110.1	438.672998825826	-2.56093406865634	0.42750003355229	-5.99048857932568	2.09211567527353e-09	2.75642876108991e-08	0.0271350852222731
AT1G03130.1	22952.9923916327	2.52957382875151	0.535338306725071	4.72518741321944	2.29903227265488e-06	1.99028765824454e-05	0.657276169352011
